Fin. Pos	Car No.	Driver	Team	Laps	Time/Retired	Grid	Laps Led	Points
1	27	Dario Franchitti	Andretti Green	250	1:48:14.1344	3	96	50+3
2	26	Marco Andretti	Andretti Green	250	+0.0681	12	4	40
3	8	Scott Sharp	Rahal Letterman	250	+1.0577	4	4	35
4	15	Buddy Rice	Dreyer & Reinbold Racing	250	+4.2426	17	5	32
5	14	Darren Manning	A.J. Foyt Racing	250	+5.2156	15	0	30
6	20	Ed Carpenter	Vision Racing	247	+3 Laps	5	0	28
7	5	Sarah Fisher	Dreyer & Reinbold Racing	247	+3 Laps	18	0	26
8	3	Hélio Castroneves	Team Penske	246	+4 Laps	2	57	24
9	4	Vitor Meira	Panther Racing	216	Mechanical	13	71	22
10	9	Scott Dixon	Target Chip Ganassi	173	+77 Laps	1	10	20
11	10	Dan Wheldon	Target Chip Ganassi	145	+105 Laps	9	0	19
12	22	A. J. Foyt IV	Vision Racing	99	Collision	10	0	18
13	7	Danica Patrick	Andretti Green	99	Collision	11	1	17
14	6	Sam Hornish, Jr.	Team Penske	99	Collision	8	0	16
15	55	Kosuke Matsuura	Panther Racing	99	Accident	16	0	15
16	11	Tony Kanaan	Andretti Green	85	Accident	7	0	14
17	17	Jeff Simmons	Rahal Letterman	85	Collision	6	0	13
18	23	Milka Duno (R)	SAMAX Motorsport	60	Handling	19	0	12
19	2	Tomas Scheckter	Vision Racing	0	Accident	14	0	12
