Book title	Author	Edition/Publisher	Page count	Page size	Language
In Search of Lost Time	Marcel Proust	Modern Library	4,211 pages, 7 volumes	inches (cm) x inches (cm)	French to English translation
Min Kamp	Karl Ove Knausgård	Forlaget Oktober	3,600 pages, 6 volumes	Unknown	Norwegian
Zettels Traum	Arno Schmidt	Suhrkamp Verlag (2010 edition)	1,536 pages	inches (cm) x inches (cm)	German
Kelidar	Mahmoud Dowlatabadi	Farhang Moaser (1984)	2,836 pages, 10 volumes	inches (cm) x inches (cm)	Persian
Ponniyin Selvan	Kalki Krishnamurthy	Kalki	2,600 pages, 5 volumes [ citation needed ]	inches (cm) x inches (cm)	Tamil
Clarissa, or, the History of a Young Lady	Samuel Richardson	Penguin Classics (1986)	1,534 pages, paperback	inches (cm) x inches (cm)	English
Poor Fellow My Country	Xavier Herbert	HarperCollins Publishers (Australia)	1,466 pages, hardcover	inches (cm) x inches (cm)	English
Women and Men	Joseph McElroy	Knopf (1987)	1,192 pages, hardcover	inches (cm) x inches (cm)	English
Sironia, Texas	Madison Cooper	Houghton Mifflin (1952)	1,731 pages, 2 volumes	Unknown dimensions	English
Romance of the Three Kingdoms	Luo Guanzhong	Foreign Languages Press (1995)	2,340 pages, 4 volumes	inches (cm) x inches (cm)	Chinese to English translation
Miss MacIntosh, My Darling	Marguerite Young	Scribners (1965)	1,198 pages	Unknown dimensions	English
Atlas Shrugged	Ayn Rand	Signet Books (1996 Edition)	1,088 pages, paperback	inches (cm) x inches (cm)	English
Jean-Christophe	Romain Rolland	Henry Holt (1910,1911,1913)	1,666 pages, 3 volumes	Unknown dimensions	French to English translation
Parallel Stories	Péter Nádas	Picador	1,133 pages, paperback	inches (cm) x inches (cm)	Hungarian to English translation
A Suitable Boy	Vikram Seth	Penguin Books	1,368 pages, paperback	inches (cm) x inches (cm)	English
War and Peace	Leo Tolstoy	Oxford World's Classics	1,440 pages, paperback	inches (cm) x inches (cm)	Russian to English translation
Il mulino del Po	Riccardo Bacchelli	Arnoldo Mondadori Editore	2,113 pages, paperback	8 inches (20cm) x 5.4 inches (14cm)	Italian
Infinite Jest	David Foster Wallace	Back Bay Books	1,104 pages, paperback	inches (cm) x inches (cm)	English
Remembrance Rock	Carl Sandburg	Mariner Books	1,088 pages, paperback	inches (cm) x inches (cm)	English
Les Misérables	Victor Hugo	Signet Classics	1,488 pages, paperback	inches (cm) x inches (cm)	French to English translation
Horcynus Orca	Stefano D'Arrigo	Arnoldo Mondadori Editore	1,257 pages, hardcover	8.2 inches (21cm) x 5.6 inches (14.2cm)	Italian
