Game	February	Opponent	Score	Record	Points
48	1	Los Angeles Kings	4–2	27–10–11	65
49	4	Montreal Canadiens	5–2	28–10–11	67
50	6	Boston Bruins	2–2 OT	28–10–12	68
51	10	@ Mighty Ducks of Anaheim	4–5	28–11–12	68
52	11	@ Los Angeles Kings	3–4	28–12–12	68
53	14	@ Colorado Avalanche	4–4 OT	28–12–13	69
54	16	@ Phoenix Coyotes	4–1	29–12–13	71
55	18	Montreal Canadiens	1–3	29–13–13	71
56	20	@ Ottawa Senators	1–4	29–14–13	71
57	21	Pittsburgh Penguins	2–1	30–14–13	73
58	24	@ Florida Panthers	3–5	30–15–13	73
59	26	@ Tampa Bay Lightning	1–4	30–16–13	73
60	28	@ New York Rangers	5–6	30–17–13	73
