Year	Winners	Runner-up	Third place	Fourth place	Best goalkeeper	Top goal scorer(s)
1994	Brazil	Italy	United States	Argentina	–	–
1997	Brazil	Spain	Canada	Portugal	–	–
1998	United States	Peru	Brazil	Portugal	–	–
1999	Brazil	Portugal	Uruguay	France	–	–
2000	Brazil	Portugal	France	Spain	–	–
2001	Brazil	Portugal	Spain	France	–	–
2002	Brazil	Portugal	Italy	Argentina	–	–
2003	Portugal	Brazil	Spain	Uruguay	–	–
2004	Brazil	Spain	Italy	Portugal	Roberto Valeiro	Madjer
2005	Brazil	Portugal	France	Ukraine	Pierre	Madjer
2006	Brazil	Portugal	Argentina	England	–	–
2007	Brazil	Portugal	Japan	Switzerland	–	–
2008	Portugal	Brazil	Argentina	France	Mão	Madjer
2009	Portugal	Brazil	Spain	United Arab Emirates	Mão	Amarelle
2010	Brazil	Portugal	Argentina	United States	Mendoza	Madjer , Daniel , Sidney , De Ezeyza
2011	Brazil	Portugal	Mexico	France	Paulo Graça	Belchior
2012	Portugal	Spain	Germany	China	Paulo Graça	Madjer
2013	Spain	Portugal	Italy	Japan	Nuno Hidalgo	Belchior , Llorenç
