-	Quebec	Ontario	Atlantic	Canada West	NATIONAL
Week 1	Jeff Thompson (McGill)	Tyler Crapigna (Mcmaster)	Season Did Not Start	No nominee	Jeff Thompson (McGill)
Week 2	Josh Maveety (Bishop's)	Dan Village (Queen's)	John Szilagyi (Mount Allison)	Nathan Coehoorn (Calgary)	Nathan Coehoorn (Calgary)
Week 3	Austin Anderson (McGill)	Chayce Elliot (Ottawa)	Dylan Hollohan (St. Francis Xavier)	Aaron Ifield (Calgary)	Austin Anderson (McGill)
Week 4	Josh Maveety (Bishop's)	Matthew Falvo (Ottawa)	John Szilagyi (Mount Allison)	Chris Bodnar (Regina)	Chris Bodnar (Regina)
Week 5	Raphaël Gagné (Sherbrooke)	Lirim Hajrullahu (Western)	Jahmeek Taylor (Saint Mary's)	Stephen McDonald (Saskatchewan)	Jahmeek Taylor (Saint Mary's)
Week 6	Christopher Milo (Laval)	Dan Village (Queen's)	Jahmeek Taylor (Saint Mary's)	No nominee (bye week)	Jahmeek Taylor (Saint Mary's)
Week 7	Pierre-Paul Gélinas (Montreal)	Lirim Hajrullahu (Western)	John Szilagyi (Mount Allison)	Luke Thiel (Saskatchewan)	Luke Thiel (Saskatchewan)
Week 8	Christopher Milo (Laval)	Shamawd Chambers (Wilfrid Laurier)	Jahmeek Taylor (Saint Mary's)	Aaron Ifield (Calgary)	Aaron Ifield (Calgary)
Week 9	William Dion (Sherbrooke)	Giancarlo Rapanaro (Wilfrid Laurier)	John Szilagyi (Mount Allison)	Aaron Ifield (Calgary)	William Dion (Sherbrooke)
Week 10	Raphaël Gagné (Laval)	Andrew Thibaudeau (Western Ontario)	Mike Rostance (Acadia)	Anthony Parker (Calgary)	Andrew Thibaudeau (Western Ontario)
Week 11	Christopher Milo (Laval)	Lirim Hajrullahu (Western Ontario)	Brett Lauther (Saint Mary's)	No Nominee	Lirim Hajrullahu (Western Ontario)
