Place	Player	Country	Score	To par	Money ( £ )
T1	Todd Hamilton	United States	71-67-67-69=274	–10	Playoff
T1	Ernie Els	South Africa	69-69-68-68=274	–10	Playoff
3	Phil Mickelson	United States	73-66-68-68=275	–9	275,000
4	Lee Westwood	England	72-71-68-67=278	–6	210,000
T5	Thomas Levet	France	66-70-71-72=279	–5	159,500
T5	Davis Love III	United States	72-69-71-67=279	–5	159,500
T7	Retief Goosen	South Africa	69-70-68-73=280	–4	117,500
T7	Scott Verplank	United States	69-70-70-71=280	–4	117,500
T9	Mike Weir	Canada	71-68-71-71=281	–3	89,500
T9	Tiger Woods	United States	70-71-68-72=281	–3	89,500
