Player	Nationality	Position	From	School/Country
, Happy Hairston	United States	Forward	1969	NYU
, Jack Haley	United States	Forward/Center	1991	UCLA
, Dennis Hamilton	United States	Forward	1967	Arizona State
, Steve Hamilton	United States	Forward/Center	1958	Morehead
, Alan Hardy	United States	Forward	1980	Michigan
, Derek Harper	United States	Guard	1999	Illinois
, Ron Harper	United States	Guard	1999	Miami (OH)
, Bob Harrison	United States	Guard	1949	Michigan
, Antonio Harvey	United States	Forward/Center	1993	Pfeiffer
, Billy Hassett	United States	Guard	1949	Notre Dame
Connie Hawkins *	United States	Forward/Center	1973	Iowa
, Tom Hawkins	United States	Forward	1959; 1966	Notre Dame
, Nate Hawthorne	United States	Guard	1973	Southern Illinois
, Spencer Haywood	United States	Forward/Center	1979	Detroit
, Walt Hazzard (Mahdi Abdul-Rahman)	United States	Guard	1964	UCLA
, Jerome Henderson	United States	Forward/Center	1985	New Mexico
, Fred Hetzel	United States	Forward/Center	1970	Davidson
, Bill Hewitt	United States	Forward	1968	USC
, Mike Higgins	United States	Forward	1989	Northern Colorado
, Jordan Hill	United States	Forward/Center	2012	Arizona
, Lew Hitch	United States	Forward/Center	1951; 1954	Kansas State
, Brad Holland	United States	Guard	1979	UCLA
, Jim Holstein	United States	Guard/Forward	1952	Cincinnati
, Johnny Horan	United States	Forward	1955	Dayton
, Ron Horn	United States	Forward	1962	Indiana
, Robert Horry	United States	Forward	1997	Alabama
, Dwight Howard	United States	Center	2012	Southwest Atlanta Christian Acadmey
, Lou Hudson	United States	Guard/Forward	1977	Minnesota
, Rod Hundley	United States	Guard	1957	West Virginia
, Lindsey Hunter	United States	Guard	2001	Jackson State
, Joe Hutton	United States	Guard	1950	Hamline
