Date	Visitor	Score	Home	Record	Points
November 3	Pittsburgh	3–5	California	5–6–2	12
November 5	Pittsburgh	2–4	Vancouver	5–7–2	12
November 7	Pittsburgh	1–4	Chicago	5–8–2	12
November 9	Pittsburgh	4–1	St. Louis	6–8–2	14
November 10	Vancouver	1–3	Pittsburgh	7–8–2	16
November 13	Los Angeles	4–6	Pittsburgh	8–8–2	18
November 16	Minnesota	5–1	Pittsburgh	8–9–2	18
November 18	Pittsburgh	3–4	Minnesota	8–10–2	18
November 20	St. Louis	4–2	Pittsburgh	8–11–2	18
November 21	Pittsburgh	3–7	Chicago	8–12–2	18
November 24	Toronto	2–1	Pittsburgh	8–13–2	18
November 27	Pittsburgh	1–3	Montreal	8–14–2	18
