Tournament	2008	2009	2010	2011	2012
Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments
Australian Open	2R	2R	3R	1R	1R
French Open	A	2R	2R	1R	2R
Wimbledon	A	1R	3R	2R	4R
US Open	A	3R	2R	2R	1R
Win–Loss	1–1	4–4	6–4	2–4	4–4
Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games
Summer Olympics	A	Not Held	Not Held	Not Held	3R
ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series
Indian Wells Masters	A	A	A	1R	4R
Miami Masters	A	A	1R	2R	1R
Monte Carlo Masters	A	A	A	1R	1R
Rome Masters	A	A	A	A	1R
Madrid Masters	A	A	A	A	1R
Canada Masters	A	A	1R	A	A
Cincinnati Masters	A	A	2R	A	2R
Shanghai Masters	NMS	A	1R	A	2R
Paris Masters	A	A	1R	Q1	1R
Win–Loss	0–0	0–0	1–5	1–3	5–8
Career Statistics	Career Statistics	Career Statistics	Career Statistics	Career Statistics	Career Statistics
Titles–Finals	0–0	0–0	0–1	0–0	0–1
Year End Ranking	105	102	40	72	43
