Rank	Title	Studio	Director	Gross
1.	Back to the Future	Universal	Robert Zemeckis	$215,000,000
2.	Rocky IV	United Artists	Sylvester Stallone	$127,873,716
3.	Rambo: First Blood Part II	Tri-Star / Carolco	George Pan Cosmatos	$150,415,432
4.	Out Of Africa	Universal	Sydney Pollack	$128,499,205
5.	The Color Purple	Warner Bros.	Steven Spielberg	$98,467,863
6.	The Jewel of the Nile	20th Century Fox	Lewis Teague	$96,773,200
7.	Cocoon	20th Century Fox	Ron Howard	$85,313,124
8.	Witness	Paramount	Peter Weir	$68,706,993
9.	Police Academy 2: Their First Assignment	Warner Bros. / Ladd	Jerry Paris	$61,600,000
10.	The Goonies	Warner Bros.	Richard Donner	$61,389,680
11.	Spies Like Us	Warner Bros.	John Landis	$60,088,980
12.	A View to a Kill	United Artists	John Glen	$50,300,000
13.	Fletch	Universal	Michael Ritchie	$50,600,000
14.	National Lampoon's European Vacation	Warner Bros.	Amy Heckerling	$49,364,621
15.	Mask	Universal	Peter Bogdanovich	$48,230,162
16.	Brewster's Millions	Universal	Walter Hill	$45,833,132
17.	The Breakfast Club	Universal	John Hughes	$45,000,000
18.	White Nights	Columbia	Taylor Hackford	$42,160,849
19.	Pale Rider	Warner Bros.	Clint Eastwood	$41,410,568
20.	Pee-Wee's Big Adventure	Warner Bros.	Tim Burton	$40,940,662
