Player	Height	Position	Year born	Current Club
Pau Gasol	2.13	Center	1980	Memphis Grizzlies
Rudy Fernández	1.96	Guard	1985	DKV Joventut
Carlos Cabezas	1.86	Guard	1980	Unicaja Málaga
Juan Carlos Navarro	1.92	Guard	1980	Memphis Grizzlies
José Calderón	1.91	Guard	1981	Toronto Raptors
Felipe Reyes	2.06	Center	1980	Real Madrid
Carlos Jiménez	2.05	Forward	1976	Unicaja Málaga
Sergio Rodríguez	1.91	Guard	1986	Portland Trail Blazers
Berni Rodríguez	1.97	Guard	1980	Unicaja Málaga
Marc Gasol	2.16	Center	1985	Akasvayu Girona
Àlex Mumbrú	2.02	Forward	1979	Real Madrid
Jorge Garbajosa	2.06	Forward	1977	Toronto Raptors
