Num	Team	W	L	PCT	PF	PA	Last appearance	Last championship	HOME games	Home wins	Home losses	Home Win Pct.	ROAD games	Road wins	Road losses	Road Win Pct.
14	Dallas Cowboys	8	6	.571	317	264	1995	1995	5	4	1	.800	9	4	5	.444
14	San Francisco 49ers	6	8	.429	269	242	2012	2012	9	4	5	.444	5	2	3	.400
9	Los Angeles/ St. Louis Rams	3	6	.333	82	187	2001	2001	4	2	2	.500	5	1	4	.200
8	Minnesota Vikings	3	5	.375	136	175	2009	1976	3	2	1	.667	5	1	4	.200
6	Washington Redskins	5	1	.833	139	78	1991	1991	5	5	0	1.000	1	0	1	.000
6	Philadelphia Eagles	2	4	.333	109	119	2008	2004	4	2	2	.500	2	0	2	.000
5	New York Giants	5	0	1.000	116	50	2011	2011	2	2	0	1.000	3	3	0	1.000
5	Green Bay Packers	3	2	.600	121	98	2010	2010	2	1	1	.500	3	2	1	.667
5	Chicago Bears	2	3	.400	80	86	2010	2006	4	2	2	.500	1	0	1	.000
3	Atlanta Falcons	1	2	.333	64	82	2012	1998	1	0	1	.000	2	1	1	.500
3	Carolina Panthers	1	2	.333	41	67	2005	2003	0	0	0	—–	3	1	2	.333
3	Tampa Bay Buccaneers	1	2	.333	33	30	2002	2002	1	0	1	.000	2	1	1	.500
2	New Orleans Saints	1	1	.500	45	67	2009	2009	1	1	0	1.000	1	0	1	.000
1	Arizona Cardinals	1	0	1.000	32	25	2008	2008	1	1	0	1.000	0	0	0	—–
1	Seattle Seahawks b[› ]	1	0	1.000	34	14	2005	2005	1	1	0	1.000	0	0	0	—–
