Round	Pick #	Player	Position	College
1	5	Terry Miller	Running back	Oklahoma State
2	33	Dee Hardison	Defensive end	North Carolina
2	38	Scott Hutchinson	Defensive end	Florida
3	59	Dennis Johnson	Running back	Mississippi State
3	65	Danny Fulton	Wide receiver	Nebraska-Omaha
4	89	Lucius Sanford	Linebacker	Georgia Tech
5	114	Ken Spaeth	Tight end	Nebraska
6	145	Eric Smith	Tackle	Southern Mississippi
7	171	Mario Celotto	Linebacker	USC
7	183	Steve Powell	Running back	N.E. Missouri State
10	255	Will Grant	Center	Kentucky
11	282	Jerry Blanton	Linebacker	Kentucky
12	309	Richard Crump	Running back	N.E. Oklahoma A&M
