Date	Competition	Location	Home Team	Result	Away Team
1992	Friendly	Banja Luka	Republic of Srpska	1 – 1	Republic of Srpska Krajina
1998	Friendly	Istočno Sarajevo	FK Slavija	2 – 2	Republic of Srpska
1999	Friendly	Banja Luka	Republic of Srpska	2 – 2	FK Kozara Gradiška
1999	Friendly	Banja Luka	Republic of Srpska	2 – 1	FK Rudar Ugljevik
1999	Friendly	Banja Luka	Republic of Srpska	4 – 0	U 21 Republic of Srpska
1999	Friendly	Dvorovi	FK Proleter Dvorovi	0 – 4	Republic of Srpska
2000	Friendly	Banja Luka	Republic of Srpska	1 – 2	U 21 Republic of Srpska
2000	Friendly	Banja Luka	Republic of Srpska	4 – 0	Kavala FC
2000	Friendly	Banja Luka	Republic of Srpska	2 – 0	FK Boksit Milići
2000	Friendly	Ugljevik	FK Rudar Ugljevik	1 – 2	Republic of Srpska
2000	Friendly	Banja Luka	Republic of Srpska	4 – 1	U 21 Republic of Srpska
2001	Friendly	Banja Luka	Republic of Srpska	4 – 1	U 21 Republic of Srpska
2001	Friendly	Munich	FC Bayern Munich II	1 – 0	Republic of Srpska
2001	Friendly	Munich	FC Schweinfurt 05	2 – 4	Republic of Srpska
