Team	Chassis	Engine	Tires	Drivers	Sponsor
Target Chip Ganassi	Reynard 97i	Honda	Firestone	Jimmy Vasser	Target
Target Chip Ganassi	Reynard 97i	Honda	Firestone	Alex Zanardi	Target
Target Chip Ganassi	Reynard 97i	Honda	Firestone	Arie Luyendyk	Target
Marlboro Team Penske	Penske PC-26 -97	Ilmor - Mercedes-Benz IC108D	Goodyear	Al Unser, Jr.	Marlboro
Marlboro Team Penske	Penske PC-26 -97	Ilmor - Mercedes-Benz IC108D	Goodyear	Paul Tracy	Marlboro
Walker Racing	Reynard 97i	Honda	Goodyear	Gil de Ferran	Valvoline / Cummins
Newman-Haas Racing	Swift 007.i	Ford XB	Goodyear	Michael Andretti	Texaco / Kmart
Newman-Haas Racing	Swift 007.i	Ford XD	Goodyear	Christian Fittipaldi	Budweiser /Kmart
Newman-Haas Racing	Swift 007.i	Ford XD	Goodyear	Roberto Moreno	Budweiser /Kmart
Team Rahal	Reynard 97i	Ford XB	Goodyear	Bryan Herta	Shell
Team Rahal	Reynard 97i	Ford XD	Goodyear	Bobby Rahal	Miller Lite
Hogan Racing	Reynard 97i	Mercedes-Benz	Firestone	Dario Franchitti (R)	No Sponsor
Hogan Racing	Reynard 97i	Mercedes-Benz	Firestone	Robby Gordon	No Sponsor
Bettenhausen Racing	Reynard 97i	Mercedes-Benz	Goodyear	Patrick Carpentier (R)	Alumax
Bettenhausen Racing	Reynard 97i	Mercedes-Benz	Goodyear	Roberto Moreno	Alumax
PacWest	Reynard 97i	Mercedes-Benz	Firestone	Maurício Gugelmin	Hollywood
PacWest	Reynard 97i	Mercedes-Benz	Firestone	Mark Blundell	Motorola
Payton/Coyne Racing	Lola T97/00 Reynard 97i	Ford XD	Goodyear	Michel Jourdain, Jr.	Herdez
Payton/Coyne Racing	Lola T97/00	Ford XD	Goodyear	Roberto Moreno	Data Control
Payton/Coyne Racing	Lola T97/00	Ford XD	Goodyear	Paul Jasper (R)	HYPE
Payton/Coyne Racing	Lola T97/00 Reynard 97i	Ford XD	Goodyear	Christian Danner	HYPE
Payton/Coyne Racing	Lola T97/00 Reynard 97i	Ford XD	Goodyear	Charlie Nearburg (R)	Nearburg Explorations
Payton/Coyne Racing	Lola T97/00	Ford XD	Goodyear	Dennis Vitolo	Smith Kline Beecham
Patrick Racing	Reynard 97i	Ford XB	Firestone	Scott Pruett	Brahma
Patrick Racing	Reynard 97i	Ford XD	Firestone	Raul Boesel	Brahma
Della Penna Motorsports	Lola T97/00	Ford XD	Goodyear	Richie Hearn	Ralphs / Food 4 Less
Arciero-Wells Racing	Reynard 97i	Toyota	Firestone	Hiro Matsushita	Panasonic / Duskin
Arciero-Wells Racing	Reynard 97i	Toyota	Firestone	Max Papis	MCI
Team KOOL Green	Reynard 97i	Honda	Firestone	Parker Johnstone	KOOL
Tasman Motorsports	Lola T97/00	Honda	Firestone	André Ribeiro	LCI International /Marlboro
Tasman Motorsports	Lola T97/00	Honda	Firestone	Adrian Fernández	Tecate / Quaker State
All American Racing	Reynard 96i Reynard 97i	Toyota	Goodyear	Juan Manuel Fangio II	Castrol
All American Racing	Reynard 96i Reynard 97i	Toyota	Goodyear	P. J. Jones	Castrol
Project Indy	Lola T97/00	Ford XD	Goodyear	Dennis Vitolo	JAG/ Marcelo Group / Hawaiian Tropic
Project Indy	Lola T97/00	Ford XD	Goodyear	Arnd Meier (R)	JAG/ Marcelo Group / Hawaiian Tropic
Davis Racing	Reynard 97i	Ford XD	Goodyear	Gualter Salles (R)	Indusval
Forsythe Racing	Reynard 96i Reynard 97i	Mercedes-Benz	Firestone	Greg Moore	Player's / Indeck
