No	Driver	Entrant	Constructor	Chassis	Engine
2	Raymond Sommer	Private	Talbot-Lago	Talbot-Lago T26C	Talbot L6
4	Philippe Étancelin	Private	Talbot-Lago	Talbot-Lago T26C	Talbot L6
6	Louis Chiron	SFACS Ecurie France	Talbot-Lago	Talbot-Lago T26C	Talbot L6
8	Yves Giraud-Cabantous	Private	Talbot-Lago	Talbot-Lago T26C	Talbot L6
10	Louis Rosier	Private	Talbot-Lago	Talbot-Lago T26C	Talbot L6
12	Pierre Levegh	Private	Talbot-Lago	Talbot-Lago T26C	Talbot L6
14	Georges Grignard	Private	Talbot-Lago	Talbot-Lago T26C	Talbot L6
16	Eugène Chaboud	Ecurie Lutetia	Delahaye	Delahaye 135	Delahaye V12
18	George Abecassis	HW Motors	Alta	Alta GP	Alta L4
20	Luigi Villoresi	Scuderia Ferrari	Ferrari	Ferrari 125	Ferrari V12
22	Alberto Ascari	Scuderia Ferrari	Ferrari	Ferrari 125	Ferrari V12
24	Peter Whitehead	Private	Ferrari	Ferrari 125	Ferrari V12s
26	Luigi Fagioli	Luigi Platé	Talbot-Lago	Talbot-Lago 700	Talbot L6
28	Giuseppe Farina	Automobiles Talbot-Darracq SA	Talbot-Lago	Talbot-Lago T26C	Talbot L6
30	B. Bira	Scuderia Enrico Platé	Maserati	Maserati 4CLT/48	Maserati L4s
32	Emmanuel de Graffenried	Scuderia Enrico Platé	Maserati	Maserati 4CLT/48	Maserati L4s
34	Juan Manuel Fangio	Squadra Argentina	Maserati	Maserati 4CLT/48	Maserati L4
36	Benedicto Campos	Squadra Argentina	Maserati	Maserati 4CLT/48	Maserati L4
38	Reg Parnell	Scuderia Ambrosiana	Maserati	Maserati 4CLT/48	Maserati L4
