Knight	Weapon/item	External weapon	Shield animal	Cart
Arthur	Excalibur	None	Dragon	Dahlia Cart
Lancelot	Lance	Sword	Lion	Lance Cart
Trunk	Battering Ram	Battle Axe	Ram	Ramhead Cart
Tone	Blacksmith's hammer and stake	Sword	Serpent	Large wagon
Breeze	Pike	Sword	Sphinx	None
Wally	Daggers	Two shortswords	Falcon	None
Gallop	Pole mace	Sword	Cerberus	None
Darren	Crossbow	Sword	Eagle	Giant crossbow cart
Phil	Spiked Club	Mace; Sword	Panther	None
Brick	Brick wall	Sword	Bat	Brick tower cart
Zeke	Spear	Sword; Club	Hydra	None
Lug	Football	Sword	Kraken	Large wagon
