Poll Source	Sample Size	Margin of Error	Date	Democrat	Republican
Survey USA	516	4.4	Mar 14-16, 2008	Hillary Clinton	John McCain
Survey USA	516	4.4	Mar 14-16, 2008	Barack Obama	John McCain
Survey USA	514	4.3	Feb 15-17, 2008	Hillary Clinton	John McCain
Survey USA	514	4.4	Feb 15-17, 2008	Barack Obama	John McCain
Survey USA	512	4.4	Jan 16-17, 2008	Hillary Clinton	Rudy Giuliani
Survey USA	512	4.4	Jan 16-17, 2008	Hillary Clinton	Mike Huckabee
Survey USA	512	4.4	Jan 16-17, 2008	Hillary Clinton	John McCain
Survey USA	512	4.4	Jan 16-17, 2008	Hillary Clinton	Mitt Romney
Survey USA	512	4.4	Jan 16-17, 2008	Barack Obama	Rudy Giuliani
Survey USA	512	4.4	Jan 16-17, 2008	Barack Obama	Mike Huckabee
Survey USA	512	4.4	Jan 16-17, 2008	Barack Obama	John McCain
Survey USA	512	4.4	Jan 16-17, 2008	Barack Obama	Mitt Romney
Survey USA	529	4.3	Dec 21, 2007	Hillary Clinton	Rudy Giuliani
Rasmussen Report	529	4.3	Dec 4, 2007	Hillary Clinton	Rudy Giuliani
Rasmussen Report	529	4.3	Dec 4, 2007	Hillary Clinton	John McCain
Survey USA	542	4.3	Nov 9-11, 2007	Hillary Clinton	Rudy Giuliani
Survey USA	542	4.3	Nov 9-11, 2007	Hillary Clinton	Mike Huckabee
Survey USA	542	4.3	Nov 9-11, 2007	Hillary Clinton	John McCain
Survey USA	542	4.3	Nov 9-11, 2007	Hillary Clinton	Mitt Romney
Survey USA	542	4.3	Nov 9-11, 2007	Barack Obama	Rudy Giuliani
Survey USA	542	4.3	Nov 9-11, 2007	Barack Obama	Mike Huckabee
Survey USA	542	4.3	Nov 9-11, 2007	Barack Obama	John McCain
Survey USA	542	4.3	Nov 9-11, 2007	Barack Obama	Mitt Romney
Survey USA	533	4.3	Oct 12-14, 2007	Hillary Clinton	Rudy Giuliani
Survey USA	521	4.4	Oct 12-14, 2007	Hillary Clinton	Mike Huckabee
Survey USA	519	4.3	Oct 12-14, 2007	Hillary Clinton	John McCain
Survey USA	516	4.4	Oct 12-14, 2007	Hillary Clinton	Ron Paul
Survey USA	526	4.4	Oct 12-14, 2007	Hillary Clinton	Mitt Romney
Survey USA	531	4.3	Oct 12-14, 2007	Hillary Clinton	Fred Thompson
