District	Incumbent	Party	First elected	Result	Candidates
Texas 1	Max Sandlin	Democratic	1996	Re-elected	Max Sandlin (D) 56.45% John Lawrence (R) 43.55%
Texas 7	John Culberson	Republican	2000	Re-elected	John Culberson (R) 89.19% Drew Parks (L) 10.76%
Texas 8	Kevin Brady	Republican	1996	Re-elected	Kevin Brady (R) 93.14% Gil Guillory (L) 6.86%
Texas 12	Kay Granger	Republican	1996	Re-elected	Kay Granger (R) 91.87% Edward A. Hanson (D) 8.13%
Texas 13	Mac Thornberry	Republican	1994	Re-elected	Mac Thornberry (R) 79.27% Zane Reese (D) 20.73%
Texas 14	Ron Paul	Republican	1996	Re-elected	Ron Paul (R) 68.09% Corby Windham (D) 31.91%
Texas 15	Ruben Hinojosa	Democratic	1996	Re-elected	Ruben Hinojosa (D) unopposed
Texas 16	Silvestre Reyes	Democratic	1996	Re-elected	Silvestre Reyes (D) unopposed
Texas 19	Larry Combest	Republican	1984	Re-elected	Larry Combest (R) 91.64% Larry Johnson (L) 8.36%
Texas 20	Charlie Gonzalez	Democratic	1998	Re-elected	Charlie Gonzalez (D) unopposed
