Driver	Team	Laps	Time/Retired	Grid	Points
Sébastien Bourdais	Newman/Haas Racing	63	1:39:02.662	1	34
Bruno Junqueira	Newman/Haas Racing	63	+4.604 secs	2	28
A. J. Allmendinger	RuSPORT	63	+6.780 secs	7	25
Justin Wilson	Mi-Jack Conquest Racing	63	+7.902 secs	3	23
Jimmy Vasser	PKV Racing	63	+17.081 secs	4	21
Patrick Carpentier	Forsythe Racing	63	+57.788 secs	8	19
Oriol Servià	Dale Coyne Racing	63	+1:21.101	5	17
Mario Domínguez	Herdez Competition	63	+1:22.727	15	16
Michel Jourdain, Jr.	RuSPORT	63	+1:31.899	10	13
Paul Tracy	Forsythe Racing	62	+ 1 Lap	6	11
Alex Tagliani	Rocketsports Racing	62	+ 1 Lap	13	10
Roberto González	PKV Racing	62	+ 1 Lap	11	9
Rodolfo Lavín	Forsythe Racing	62	+ 1 Lap	14	8
Michael Valiante	Walker Racing	62	+ 1 Lap	12	7
Mario Haberfeld	Walker Racing	62	+ 1 Lap	17	6
Nelson Philippe	Mi-Jack Conquest Racing	62	+ 1 Lap	19	5
Guy Smith	Rocketsports Racing	62	+ 1 Lap	18	4
Tarso Marques	Dale Coyne Racing	60	+ 3 Laps	16	3
Ryan Hunter-Reay	Herdez Competition	58	+ 5 Laps	9	2
