Pick #	Player	Position	Nationality	NHL team	College/junior/club team
143	Christian Duperron	Defence	Canada	Hartford Whalers	Chicoutimi Sagueneens (QMJHL)
144	Jamie Falle	Goaltender	Canada	Hartford Whalers	Clarkson University (ECAC)
145	Viacheslav Fetisov	Defence	Soviet Union	New Jersey Devils	Moscow CSKA (USSR)
146	Craig Butz	Defence	Canada	Detroit Red Wings	Kelowna Wings (WHL)
147	Ken Hammond	Defence	Canada	Los Angeles Kings	Rensselaer Polytechnic Institute (ECAC)
148	Paul Bifano	Left Wing	Canada	Toronto Maple Leafs	Burnaby Bluehawks (BCJHL)
149	Ron Pesetti	Defence	Canada	Winnipeg Jets	Western Michigan University (CCHA)
150	John Labatt	Centre	United States	Vancouver Canucks	Minnetonka High School (USHS-MN)
151	Chris MacDonald	Defence	Canada	Calgary Flames	Western Michigan University (CCHA)
152	Tommy Albelin	Defence	Sweden	Quebec Nordiques	Djurgardens IF (Sweden)
153	Pete Marcov	Left Wing	Canada	New York Rangers	Welland Cougars (GHJHL)
154	Don McSween	Defence	United States	Buffalo Sabres	Redford Royals (NAJHL)
155	Marty Abrams	Goaltender	Canada	Washington Capitals	Pembroke Lumber Kings (CJAHL)
156	Don Biggs	Centre	Canada	Minnesota North Stars	Oshawa Generals (OHL)
157	Dale Henry	Left Wing	Canada	New York Islanders	Saskatoon Blades (WHL)
158	Rob Bryden	Left Wing	Canada	Montreal Canadiens	Henry Carr Crusaders (MetJHL)
159	Kent Paynter	Defence	Canada	Chicago Black Hawks	Kitchener Rangers (OHL)
160	Ralph Vos	Goaltender	Canada	Edmonton Oilers	Abbotsford Flyers (BCJHL)
161	Pelle Eklund	Centre	Sweden	Philadelphia Flyers	Solna (Sweden)
162	Francois Olivier	Left Wing	Canada	Boston Bruins	St-Jean Castors (QMJHL)
