Stage	General classification	Points classification	Mountains classification	Young rider classification
1	Christian Vande Velde	no award	no award	Chris Anker Sørensen
2	Franco Pellizotti	Riccardo Riccò	Emanuele Sella	Chris Anker Sørensen
3	Franco Pellizotti	Daniele Bennati	Emanuele Sella	Morris Possoni
4	Franco Pellizotti	Daniele Bennati	Emanuele Sella	Morris Possoni
5	Franco Pellizotti	Daniele Bennati	Emanuele Sella	Morris Possoni
6	Giovanni Visconti	Daniele Bennati	Emanuele Sella	Giovanni Visconti
7	Giovanni Visconti	Daniele Bennati	Emanuele Sella	Giovanni Visconti
8	Giovanni Visconti	Riccardo Riccò	Emanuele Sella	Giovanni Visconti
9	Giovanni Visconti	Daniele Bennati	Emanuele Sella	Giovanni Visconti
10	Giovanni Visconti	Daniele Bennati	Emanuele Sella	Giovanni Visconti
11	Giovanni Visconti	Daniele Bennati	Emanuele Sella	Giovanni Visconti
12	Giovanni Visconti	Daniele Bennati	Emanuele Sella	Giovanni Visconti
13	Giovanni Visconti	Daniele Bennati	Emanuele Sella	Giovanni Visconti
14	Gabriele Bosisio	Daniele Bennati	Emanuele Sella	Riccardo Riccò
15	Alberto Contador	Daniele Bennati	Emanuele Sella	Riccardo Riccò
16	Alberto Contador	Daniele Bennati	Emanuele Sella	Riccardo Riccò
17	Alberto Contador	Daniele Bennati	Emanuele Sella	Riccardo Riccò
18	Alberto Contador	Daniele Bennati	Emanuele Sella	Riccardo Riccò
19	Alberto Contador	Daniele Bennati	Emanuele Sella	Riccardo Riccò
20	Alberto Contador	Daniele Bennati	Emanuele Sella	Riccardo Riccò
21	Alberto Contador	Daniele Bennati	Emanuele Sella	Riccardo Riccò
Final	Alberto Contador	Daniele Bennati	Emanuele Sella	Riccardo Riccò
