Month	Week	Overall	Offensive	Defensive	Transition	Rookie
January	1	Blaine Manning	Casey Powell	Kevin Croswell	Scott Stewart	Andrew Watt
January	2	Gary Gait	Pat Maddalena	Ken Montour	Brodie Merrill	Sean Thomson
January	3	Mark Steenhuis	Mark Steenhuis	Ken Montour	Greg Peyser	Daryl Veltman
January	4	Dan Teat	Dan Dawson	Michael Thompson	Tyler Codron	Daryl Veltman
January	5	Matt Disher	Mike Accursi	Matt Disher	Curtis Hodgson	Matt Danowski
February	6	Gary Bining	Tracey Kelusky	Pat Campbell	Chris Driscoll	Gary Bining
February	7	Mark Steenhuis	Mark Steenhuis	Anthony Cosmo	Jason Bloom	Tyler Crompton
February	8	Dan Dawson	Mark Steenhuis	Jon Harnett	Bobby McBride	Rhys Duch
February	9	Shawn Evans	Shawn Evans	Matt Disher	Kyle Ross	Kevin Buchanan
March	10	Shawn Evans	Shawn Evans	Sandy Chapman	Pat McCready	Kevin Buchanan
March	11	Bob Watson	John Tavares	Ken Montour	Paul Rabil	Tyler Crompton
March	12	Athan Iannucci	Andy Secore	Matt Vinc	Brodie Merrill	Rhys Duch
March	13	John Tavares	Colin Doyle	Tyler Richards	Brodie Merrill	Rhys Duch
April	14	Anthony Cosmo	Merrick Thomson	Matt Disher	Scott Stewart	Rhys Duch
