Name	Circuit	Date	Winning driver	Winning constructor	Report
Circuit d'Esterel Plage	Saint-Raphaël	2 March	René Dreyfus	Bugatti	Report
Tripoli Grand Prix	Tripoli	23 March	Baconin Borzacchini	Maserati	Report
Monaco Grand Prix	Monte Carlo	6 April	René Dreyfus	Bugatti	Report
Alessandria Circuit	Bordino	20 April	Achille Varzi	Alfa Romeo	Report
Oran Grand Prix	Arcole	27 April	Jean de Maleplane	Bugatti	Report
Targa Florio	Madonie	4 May	Achille Varzi	Alfa Romeo	Report
Picardy Grand Prix	Péronne	18 May	Max Fourny	Bugatti	Report
Rome Grand Prix	Tre Fontane	25 May	Luigi Arcangeli	Maserati	Report
Grand Prix des Frontières	Chimay	9 June	Georges de Marotte	Salmson	Report
Lyon Grand Prix	Quincieux	15 June	Louis Chiron	Bugatti	Report
Grand Prix de la Marne	Reims	29 June	René Dreyfus	Bugatti	Report
Eifelrennen	Nürburgring	20 July	Heinrich-Joachim von Morgen	Bugatti	Report
Dieppe Grand Prix	Dieppe	20 July	Marcel Lehoux	Bugatti	Report
Coppa Ciano	Montenero	3 August	Luigi Fagioli	Maserati	Report
Dauphiné Circuit	Grenoble	10 August	Philippe Étancelin	Bugatti	Report
Coppa Acerbo	Pescara	17 August	Achille Varzi	Maserati	Report
Grand Prix du Comminges	Saint-Gaudens	17 August	François Miquel	Bugatti	Report
Monza Grand Prix	Monza	7 September	Achille Varzi	Maserati	Report
Lviv Grand Prix	Lviv	8 September	Henryk Liefeldt	Austro Daimler	Report
Masaryk Circuit	Brno	28 September	Hermann of Leiningen	Bugatti	Report
San Sebastián Grand Prix	Lasarte	5 October	Achille Varzi	Maserati	Report
