Name	Latitude	Longitude	Diameter (km)	Year named	Name origin
Aife Fossae	67.0N	131.0E	280.0	1997	Irish warrior deity.
Ajina Fossae	45.0S	258.0E	300.0	1997	Tajik evil spirit.
Albasty Fossae	9.0S	336.5E	500.0	1997	Tartar evil spirit.
Arianrod Fossae	37.0N	239.9E	715.0	1985	Celtic warrior queen.
Bellona Fossae	38.0N	222.1E	855.0	1985	Roman war goddess, wife of Mars.
Brynhild Fossae	26.0S	18.0E	1,800.0	1997	Norse warrior maiden.
Enyo Fossae	62.0S	351.0E	700.0	1991	Greek war goddess.
Fea Fossae	27.5N	224.0E	620.0	1997	Gaelic war goddess.
Felesta Fossae	34.5N	46.5E	570.0	1991	Amazon queen in Scythian epic tales.
Friagabi Fossae	50.2N	109.5E	141.0	1985	Old English goddess, connected with Mars.
Gulaim Fossae	5.0S	329.0E	800.0	1997	Karakalpak amazon leader.
Hanekasa Fossae	29.0N	148.5E	700.0	1997	Sanema (Venezuela) amazon warrior.
Hildr Fossa	45.4N	159.4E	677.0	1985	Norse mythological warrior.
Ilbis Fossae	71.9N	254.6E	512.0	1985	Yakutian (Siberia) goddess of bloodshed.
Karra-ma-hte Fossae	28.0N	342.0E	1,800.0	1997	Latvian warrior goddess.
Khosedem Fossae	13.0S	303.0E	1,800.0	1997	Ketian (Yenisey R.) main evil goddess.
Magura Fossae	12.0S	332.5E	600.0	1997	E. Slavic winged warrior maiden.
Manto Fossae	63.6N	64.9E	536.0	1991	Greek war goddess.
Minerva Fossae	64.5N	252.5E	0.0	1985	Roman goddess of war.
Mist Fossae	39.5N	247.3E	244.0	1985	Norse Valkyrie. Changed to Mist Chasma.
Naguchitsa Fossae	35.6S	159.3E	730.0	2003	Adygan evil warrior, old woman with iron teeth.
Naijok Fossae	70.2S	337.0E	450.0	1997	Dinka (Sudan) evil deity.
Namjyalma Fossae	2.5N	2.7E	560.0	2000	Tibetan victorious mother.
Narundi Fossae	66.5S	329.0E	700.0	1997	Elam goddess of victory.
Nike Fossae	59.5S	340.0E	800.0	1991	Greek goddess of victory.
Penthesilea Fossa	12.0S	214.0E	1,700.0	1997	Greek amazon queen.
Perunitsa Fossae	10.0S	307.0E	1,300.0	1997	E. Slavic winged warrior maiden.
Rangrid Fossae	62.7N	356.4E	243.0	1985	Norse Valkyrie.
Saykal Fossae	73.0N	139.0E	300.0	1997	Kyrgyz warrior maiden.
Sigrun Fossae	50.5N	18.0E	970.0	1985	Norse Valkyrie.
Valkyrie Fossae	58.2N	7.0E	357.0	1991	Norse battle maidens.
Yenkhoboy Fossae	48.0S	7.0E	900.0	1997	Buryatian warrior sisters.
Yuzut-Arkh Fossae	48.0N	224.0E	550.0	1997	Khakas (S. Siberia) evil deity.
