Outcome	Date	Tournament	Surface	Partner	Opponents	Score
Runner-up	2 January 1980	Australian Open, Melbourne, Australia	Hard	Leanne Harrison	Judy Chaloner Diane Evers	2–6, 6–1, 0–6
Winner	15 May 1983	Lugano , Switzerland	Clay	Christiane Jolissaint	Petra Delhees Patricia Medrado	6–2, 3–6, 7–5
Winner	23 January 1984	Denver , Colorado, USA	Hard (i)	Anne Hobbs	Sherry Acker Candy Reynolds	6–2, 6–3
Winner	30 January 1984	Pittsburgh , Pennsylvania, USA	Carpet	Christiane Jolissaint	Anna-Maria Fernandez Trey Lewis	7–6, 6–4
Winner	13 May 1984	Lugano , Switzerland	Hard (i)	Christiane Jolissaint	Iva Budarova Marcela Skuherska	6–4, 6–3
Runner-up	6 January 1985	Port St. Lucie, Florida , USA	Hard (o)	Christiane Jolissaint	Betsy Nagelsen Paula Smith	3–6, 4–6
Runner-up	11 March 1985	US Indoors , USA	Carpet	Elizabeth Smylie	Martina Navratilova Pam Shriver	5–7, 2–6
Runner-up	17 March 1985	Dallas , Texas, USA	Carpet	Pascale Paradis	Barbara Potter Sharon Walsh	7–5, 4–6, 6–7
Runner-up	12 August 1985	Canadian Open , Canada	Hard (o)	Pascale Paradis	Gigi Fernandez Martina Navratilova	4–6, 0–6
Winner	11 November 1985	Hilversum , Netherlands	Carpet	Catherine Tanvier	Sandra Cecchini Sabrina Goles	6–2, 6–2
Runner-up	15 December 1985	Tokyo Indoor , Japan	Carpet	Elizabeth Smylie	Claudia Kohde-Kilsch Helena Sukova	0–6, 4–6
Winner	2 March 1986	Oklahoma City , USA	Carpet	Pascale Paradis	Lori McNeil Catherine Suire	2–6, 7–6, 6–1
Runner-up	24 May 1987	Strasbourg , France	Clay	Kathy Horvath	Jana Novotna Catherine Suire	0–6, 2–6
Runner-up	12 July 1987	Belgian Open , Belgium	Clay	Kathy Horvath	Bettina Bunge Manuela Maleeva	6–4, 4–6, 4–6
