Year	Superintendent	Glendale Principal	H.H. Principal	Maplemere Principal	W.R. Principal	M.S. Principal	H.S. Principal	H. S. Asst. Principal
1972-1973	James Finch	Rich McBride	Nellie Love	Charlie Taylor	Rich Auerbach	Bob Kramer	Jim Haught	Jim Sparrow
1973-1974	James Finch	Rich McBride	David Ebert	Charlie Taylor	Rich Auerbach	Bob Kramer	Jim Haught	Jim Sparrow
1974-1975	James Finch	Rich McBride	David Ebert	Charlie Taylor	Rich Auerbach	Bob Kramer	Jim Haught	Jim Sparrow
1975-1976	James Finch	Rich McBride	David Ebert	Charlie Taylor	Rich Auerbach	Bob Kramer	Jim Haught	Jim Sparrow
1976-1977	James Finch	Rich McBride	David Ebert	Charlie Taylor	Rich Auerbach	Bob Kramer	Jim Haught	Jim Sparrow
1977-1978	James Finch	Rich McBride	David Ebert	Charlie Taylor	Rich Auerbach	Bob Kramer	Jim Haught	Jim Sparrow
1978-1979	James Finch	Rich McBride	David Ebert	Charlie Taylor	Rich Auerbach	Bob Kramer	Jim Haught	Jim Sparrow
1979-1980	James Finch	Rich McBride	David Ebert	Charlie Taylor	Rich Auerbach	Bob Kramer	Jim Haught	Jim Sparrow
1980-1981	James Finch	Rich McBride	David Ebert	Charlie Taylor	Frank Mercer	Bob Kramer	Jim Haught	Jim Sparrow
1981-1982	James Finch	Rich McBride	Rich Auerbach	Charlie Taylor	Charlie Carle	Bob Kramer	Jim Haught	Jim Sparrow
1982-1983	James Finch	Rich McBride	Rich Auerbach	Charlie Taylor	Charlie Carle	Bob Kramer	Jim Haught	Jim Sparrow
1983-1984	James Finch	Rich McBride	Rich Auerbach	Charlie Taylor	Charlie Carle	Bob Kramer	Jim Haught	Jim Sparrow
1984-1985	James Finch	Rich McBride	Sue Mendle	Charlie Taylor	Charlie Carle	Bob Kramer	Jim Haught	Jim Sparrow
1985-1986	James Finch	Rich McBride	Sue Mendel	Charlie Taylor	Charlie Carle	Bob Kramer	Jim Haught	Jim Sparrow
1986-1987	James Finch	Rich McBride	Sue Mendel	Charlie Taylor	Charlie Carle	Bob Kramer	Jim Haught	Jim Sparrow
1987-1988	James Finch	Rich McBride	Sue Mendel	Charlie Taylor	Charlie Carle	Bob Kramer	Jim Haught	Jim Sparrow
1988-1989	James Finch	Rich McBride	Sue Mendel	Charlie Taylor	Charlie Carle	Bob Kramer	Jim Haught	Jim Sparrow
1989-1990	James Finch	Al Kuhn	Sue Mendel	Charlie Taylor	Charlie Carle	Craig Allwes	Jim Haught	Jim Sparrow
1990-1991	James Finch	Sue Krilovich	Sue Mendel	Michelle Kavanaugh	Charlie Carle	Craig Allwes	Jim Haught	Jim Sparrow
1991-1992	Gary Cooper	Sue Krikovich	Sue Mendel	Michelle Kavanaugh	Charlie Carle	Craig Allwes	Jim Haught	Jim Sparrow
1992-1993	Gary Cooper	Sue Krikovich	Sue Mendel	Michelle Kavanaugh	Charlie Carle	Craig Allwes	Dave Ebert*	Jim Sparrow
1993-1994	Gary Cooper	Sue Krikovich	Sue Mendel	Michelle Kavanaugh	Charlie Carle	Craig Allwes	Paul Hendel	Jim Sparrow
1994-1995	Gary Cooper	Sue Krikovich	Sue Mendel	Michelle Kavanaugh	Charlie Carle	Craig Allwes	Paul Hendel	Jim Sparrow
1995-1996	Gary Cooper	Sue Krikovich	Sue Mendel	Michelle Kavanaugh	Charlie Carle	Craig Allwes	Paul Hendel	Margaret Puzio
1996-1997	Gary Cooper	Sue Krikovich	Sue Mendel	Michelle Kavanaugh	Charlie Carle	Craig Allwes	Paul Hendel	Margaret Puzio
1997-1998	Gary Cooper	Sue Krikovich	Sue Hausman	Ann Laudisio	Charlie Carle	Craig Allwes	Paul Hendel	Bonnie Bolea
1998-1999	Gary Cooper	Joyce Brace	Sue Hausman	Ann Laudisio	Charlie Carle	Geoff Hicks	Paul Hendel	Bonnie Bolea
1999-2000	Gary Cooper	Joyce Brace	Sue Hausman	Ann Laudisio	Charlie Carle	Geoff Hicks	Paul Hendel	Bonnie Bolea
2000-2001	Jim Sheehan	Joyce Brace	Sue Hausman	Ann Laudisio	Charlie Carle	Geoff Hicks	Paul Hendel	Paul Casseri
2001-2002	Jim Sheehan	Joyce Brace	Sue Hausman	Ann Laudisio	Charlie Carle	Geoff Hicks	Paul Hendel	Paul Casseri
2002-2003	Geoff Hicks	Joyce Brace	Scott Wolf	Ann Laudisio	Charlie Carle	Daryl Janus	Paul Hendel	Joleen Reinholz
2003-2004	Geoff Hicks	Joyce Brace	Scott Wolf	Ann Laudisio	Charlie Carle	Joe Zwack	Paul Hendel	Joleen Reinholz
2004-2005	Geoff Hicks	Joyce Brace	Scott Wolf	Ann Laudisio	Bonnie Bolea	Joe Zwack	Sue Thomas	Kevin Woznek*
2005-2006	Geoff Hicks	Joyce Brace	Scott Wolf	Ann Laudisio	Dave Lovering	Greg Smorel	Sue Thomas	Joe Zwack
2006-2007	Geoff Hicks	Joyce Brace	Scott Wolf	Ann Laudisio	Dave Lovering	Greg Smorel	Joleen Reinholz	Joe Zwack
2007-2008	Geoff Hicks	Joyce Brace	Scott Wolf	Ann Laudisio	Dave Lovering	Greg Smorel	Joleen Reinholz	Joe Zwack
2008-2009	Geoff Hicks	Joyce Brace	Scott Wolf	Ann Laudisio	Dave Lovering	Greg Smorel	Joleen Reinholz	Joe Zwack
2009-2010	Geoff Hicks	Joyce Brace	Scott Wolf	Ann Laudisio	Dave Lovering	Greg Smorel	Joleen Reinholz	Joe Zwack
2010-2011	Tony Day	Joyce Brace	Scott Wolf	Ann Laudisio	Dave Lovering	Marty Pizur*	Joleen Reinholz	Joe Zwack
2011-2012	Tony Day	Joyce Brace	Scott Wolf	Ann Laudisio	Dave Lovering	Marty Pizur	Joleen Reinholz	Joe Zwack
2012-2013	Tony Day	Joyce Brace	Scott Wolf	Ann Laudisio	Dave Lovering	Marty Pizur	Joleen Reinholz	Joe Zwack
2013-2014	Tony Day	Joyce Brace	Scott Wolf	Ann Laudisio	Dave Lovering	Marty Pizur	Joleen Reinholz	Joe Zwack
