Peak	Elevation (m)	Prominence (m)	Isolation (km)	Municipality	County
Galdhøpiggen	2469	2372	1570	Lom	Oppland
Jiehkkevárri	1833	1741	140	Lyngen , Tromsø	Troms
Snøhetta	2286	1675	83	Dovre	Oppland
Store Lenangstind	1625	1576	47	Lyngen	Troms
Gjegnen / Blånibba	1670	1460	47	Bremanger	Sogn og Fjordane
Hamperokken	1404	1396	18	Tromsø	Troms
Skårasalen	1542	1385	7	Ørsta	Møre og Romsdal
Oksskolten	1916	1384	185	Hemnes	Nordland
Botnafjellet	1572	1339	15	Gloppen	Sogn og Fjordane
Kvitegga	1717	1324	23	Stranda , Ørsta	Møre og Romsdal
Fresvikbreen	1660	1310	17	Vik	Sogn og Fjordane
Smørskredtindane	1630	1306	12	Stranda , Ørsta	Møre og Romsdal
Njunis	1717	1305	53	Målselv	Troms
Store Trolla	1850	1292	11	Sunndal	Møre og Romsdal
Langlitinden	1276	1276	26	Ibestad	Troms
Indre Russetind	1527	1268	9	Balsfjord	Troms
Møysalen	1262	1262	60	Hinnøya	Nordland
Stortind	1320	1242	14	Tromsø	Troms
Folgefonna	1660	1233	29	Kvinnherad , Odda	Hordaland
Daurmål	1446	1230	4	Gloppen , Jølster	Sogn og Fjordane
