Week	Date	Opponent	Result	TV Time	Attendance
1	September 3, 2000	San Diego Chargers	W 9–6	CBS 1:05pm	56,373
2	September 10, 2000	at Indianapolis Colts	W 38–31	CBS 10:00am	56,769
3	September 17, 2000	Denver Broncos	L 33–24	CBS 1:15pm	62,078
4	September 24, 2000	Cleveland Browns	W 36–10	CBS 1:05pm	45,702
5	Bye	Bye	Bye	Bye	Bye
6	October 8, 2000	at San Francisco 49ers	W 34–28 (OT)	CBS 1:15pm	68,344
7	October 15, 2000	at Kansas City Chiefs	W 20–17	CBS 10:00am	79,025
8	October 22, 2000	Seattle Seahawks	W 31–3	CBS 1:05pm	57,490
9	October 29, 2000	at San Diego Chargers	W 15–13	ESPN 5:30pm	66,659
10	November 5, 2000	Kansas City Chiefs	W 49–31	CBS 1:15pm	62,428
11	November 13, 2000	at Denver Broncos	L 27–24	ABC 6:00pm	75,951
12	November 19, 2000	at New Orleans Saints	W 31–22	CBS 10:00am	64,900
13	November 26, 2000	Atlanta Falcons	W 41–14	FOX 1:05pm	55,175
14	December 3, 2000	at Pittsburgh Steelers	L 21–20	CBS 10:00am	55,811
15	December 10, 2000	New York Jets	W 31–7	ESPN 5:30pm	62,632
16	December 16, 2000	at Seattle Seahawks	L 27–24	CBS 1:05pm	68,681
17	December 24, 2000	Carolina Panthers	W 52–9	FOX 1:05pm	60,637
