Name	Number	Released	Film	Pieces
Motorcycle Chase	7620	2008	Indiana Jones and the Last Crusade	79
The Lost Tomb	7621	2008	Raiders of the Lost Ark	277
Race for the Stolen Treasure	7622	2008	Raiders of the Lost Ark	272
Temple Escape	7623	2008	Raiders of the Lost Ark	552
Jungle Duel	7624	2008	Indiana Jones and the Kingdom of the Crystal Skull	90
River Chase	7625	2008	Indiana Jones and the Kingdom of the Crystal Skull	234
Jungle Cutter	7626	2008	Indiana Jones and the Kingdom of the Crystal Skull	511
Temple of the Crystal Skull	7627	2008	Indiana Jones and the Kingdom of the Crystal Skull	929
Peril in Peru	7628	2008	Indiana Jones and the Kingdom of the Crystal Skull	625
Jungle Cruiser	20004	2008	Indiana Jones and the Kingdom of the Crystal Skull	83
Shanghai Chase	7682	2009	Indiana Jones and the Temple of Doom	244
Fight on the Flying Wing	7683	2009	Raiders of the Lost Ark	376
Ambush in Cairo	7195	2009	Raiders of the Lost Ark	79
Chauchilla Cemetery Battle	7196	2009	Indiana Jones and the Kingdom of the Crystal Skull	189
Venice Canal Chase	7197	2009	Indiana Jones and the Last Crusade	420
Fighter Plane Attack	7198	2009	Indiana Jones and the Last Crusade	339
The Temple of Doom	7199	2009	Indiana Jones and the Temple of Doom	654
