Manager	Years	Games	Wins	Losses
Chuck Goggin	1978	141	64	77
George Scherger	1979	144	83	61
Stump Merrill [a ]	1980–1981	286	178	108
Johnny Oates	1982	144	77	67
Doug Holmquist	1983	146	88	58
Jim Marshall	1984	147	74	73
Lee Walls	1985	7	3	4
Leon Roberts	1985	7	2	5
Gordon Mackenzie	1985	127	66	61
Leon Roberts	1986	142	68	74
Jack Lind	1987–1988	217	102	115
Wayne Garland	1988	3	1	2
George Scherger	1988	1	0	1
Jim Hoff	1988	22	12	10
Frank Lucchesi	1988–1989	185	96	89
Pete Mackanin	1990–1992	366	186	180
Dave Miley	1992	68	32	36
Rick Renick [b ]	1993–1996	575	309	266
Tom Spencer	1997	143	74	69
Trent Jewett	1998–2000	339	176	163
Richie Hebner	2000	85	34	51
Marty Brown	2001–2002	284	136	148
Trent Jewett	2003–2004	285	144	141
Frank Kremblas [c ]	2005–2008	572	299	273
Don Money	2009–2011	432	223	209
Mike Guerrero	2012–2013	288	124	164
Darnell Coles	2014–beyond	0	0	0
Totals	Totals	5,157	2,651	2,506
