Model number	sSpec number	Cores	Frequency	Turbo	L2 cache	L3 cache	GPU model	GPU frequency	Socket	I/O bus	Release date	Part number(s)	Release price ( USD )
standard power	standard power	standard power	standard power	standard power	standard power	standard power	standard power	standard power	standard power	standard power	standard power	standard power	standard power
Core i7-3520M	SR0MT(L1)SR0MU(L1)	2	2.9 GHz	5/7	2 × 256 KB	4 MB	HD Graphics 4000	650–1250 MHz	SocketG2 BGA-1023	DMI 2.0	June 2012	AW8063801028703AV8063801028803	$346
Core i7-3540M	SR0X6(L1)SR0X8(L1)	2	3 GHz	5/7	2 × 256 KB	4 MB	HD Graphics 4000	650–1300 MHz	SocketG2BGA-1023	DMI 2.0	January 2013	AW8063801108900AV8063801109800	$346
low power, embedded	low power, embedded	low power, embedded	low power, embedded	low power, embedded	low power, embedded	low power, embedded	low power, embedded	low power, embedded	low power, embedded	low power, embedded	low power, embedded	low power, embedded	low power, embedded
Core i7-3555LE	SR0R5(L1)SR0T5(L1)	2	2.5 GHz	5/7	2 × 256 KB	4 MB	HD Graphics 4000	550–1000 MHz	BGA-1023	DMI 2.0	June 2012	AV8063801116902AV8063801116903	$360
ultra-low power	ultra-low power	ultra-low power	ultra-low power	ultra-low power	ultra-low power	ultra-low power	ultra-low power	ultra-low power	ultra-low power	ultra-low power	ultra-low power	ultra-low power	ultra-low power
Core i7-3517U	SR0N6(L1)	2	1.9 GHz	9/11	2 × 256 KB	4 MB	HD Graphics 4000	350–1150 MHz	BGA-1023	DMI 2.0	June 2012	AV8063801057605	$346
Core i7-3537U	SR0XG(L1)	2	2 GHz	9/11	2 × 256 KB	4 MB	HD Graphics 4000	350–1200 MHz	BGA-1023	DMI 2.0	January 2013	AV8063801119700	$346
Core i7-3667U	SR0N5(L1)	2	2 GHz	10/12	2 × 256 KB	4 MB	HD Graphics 4000	350–1150 MHz	BGA-1023	DMI 2.0	June 2012	AV8063801057405	$346
Core i7-3687U	SR0XH(L1)	2	2.1 GHz	10/12	2 × 256 KB	4 MB	HD Graphics 4000	350–1200 MHz	BGA-1023	DMI 2.0	January 2013	AV8063801119903	$356
Core i7-3689Y	SR12R(L1)	2	1.5 GHz	9/11	2 × 256 KB	4 MB	HD Graphics 4000	350–850 MHz	BGA-1023	DMI 2.0	January 2013	AV8063801378203	$362
ultra-low power, embedded	ultra-low power, embedded	ultra-low power, embedded	ultra-low power, embedded	ultra-low power, embedded	ultra-low power, embedded	ultra-low power, embedded	ultra-low power, embedded	ultra-low power, embedded	ultra-low power, embedded	ultra-low power, embedded	ultra-low power, embedded	ultra-low power, embedded	ultra-low power, embedded
Core i7-3517UE	SR0R2(L1)SR0T6(L1)	2	1.7 GHz	9/11	2 × 256 KB	4 MB	HD Graphics 4000	350–1000 MHz	BGA-1023	DMI 2.0	June 2012	AV8063801149401AV8063801149402	$330
