Week 2 Sept 7	Week 3 Sept 14	Week 4 Sept 21	Week 5 Sept 28	Week 6 Oct 5	Week 7 Oct 12	Week 10 Nov 2	Week 12 Nov 16	Week 14 Nov 30	Week 15 Dec 7	Week 16 (Final) Jan 9
USC (1-0) (33)	USC (2-0) (61)	USC (2-0) (62)	Oklahoma (4-0) (43)	Oklahoma (5-0) (51)	Texas (6-0) (39)	Alabama (9-0) (46)	Alabama (11-0) (42)	Alabama (12-0) (62)	Florida (12-1) (50)	Florida (13-1) (48)
Georgia (2-0) (23)	Oklahoma (3-0)	Oklahoma (3-0)	Alabama (5-0) (21)	Alabama (6-0) (13)	Alabama (6-0) (26)	Texas Tech (9-0) (12)	Texas Tech (10-0) (21)	Florida (11-1) (3)	Oklahoma (12-1) (9)	Utah (13-0) (16)
Oklahoma (2-0) (2)	Georgia (3-0) (2)	Georgia (4-0) (2)	LSU (4-0)	Missouri (5-0) (1)	Penn State (7-0)	Penn State (9-0) (6)	Florida (9-1) (2)	Texas (11-1)	Texas (11-1) (6)	USC (12-1) (1)
Florida (2-0) (4)	Florida (2-0) (1)	Florida (3-0) (1)	Missouri (4-0) (1)	LSU (4-0)	Oklahoma (5-1)	Florida (7-1) (1)	Texas (10-1)	Oklahoma (11-1)	Alabama (12-1)	Texas (12-1)
Ohio State (2-0) (1)	Missouri (3-0)	LSU (3-0)	Texas (4-0)	Texas (5-0)	Florida (5-1)	Texas (8-1)	Oklahoma (9-1)	USC (10-1)	USC (11-1)	Oklahoma (12-2)
Missouri (2-0) (1)	LSU (2-0)	Missouri (4-0)	Penn State (5-0)	Penn State (6-0)	USC (4-1)	Oklahoma (8-1)	USC (9-1)	Penn State (11-1)	Penn State (11-1)	Alabama (12-2)
LSU (1-0) (1)	Texas (2-0)	Texas (3-0)	Texas Tech (4-0)	Texas Tech (5-0)	Texas Tech (6-0)	USC (7-1)	Penn State (10-1)	Utah (12-0)	Utah (12-0)	TCU (11-2)
Texas (2-0)	Wisconsin (3-0)	Alabama (4-0)	BYU (4-0)	USC (3-1)	Oklahoma State (6-0)	Oklahoma State (8-1)	Utah (11-0)	Texas Tech (11-1)	Texas Tech (11-1)	Penn State (11-2)
Auburn (2-0)	Alabama (3-0)	Wisconsin (3-0)	USC (2-1)	BYU (5-0)	BYU (6-0)	Boise State (8-0)	Boise State (10-0)	Boise State (12-0)	Boise State (12-0)	Ohio State (10-3)
Wisconsin (2-0)	Auburn (3-0)	Texas Tech (4-0)	South Florida (5-0)	Georgia (4-1)	Georgia (5-1)	Utah (9-0)	Ohio State (9-2)	Ohio State (10-2)	Ohio State (10-2)	Oregon (10-3)
Alabama (2-0)	Texas Tech (3-0)	BYU (4-0)	Georgia (4-1)	Florida (4-1)	Missouri (5-1)	TCU (9-1)	Oklahoma State (9-2)	TCU (10-2)	TCU (10-2)	Boise State (12-1)
