Date	Opponent	Score	Loss	Record
April 4	@ Pirates	9 - 2	Pérez (0-1)	1-0
April 6	@ Pirates	10 - 2	Wells (0-1)	2-0
April 8	@ Cubs	6 - 3 (12)	Leicester (0-1)	3-0
April 9	@ Cubs	0 - 4	Sheets (0-1)	3-1
April 10	@ Cubs	5 - 6 (12)	Turnbow (0-1)	3-2
April 11	Pirates	6 - 2	Wells (0-2)	4-2
April 12	Pirates	2 - 4	Glover (0-1)	4-3
April 13	Pirates	6 - 2	White (0-2)	5-3
April 15	Cardinals	0 - 3	Sheets (1-2)	5-4
April 16	Cardinals	3 - 5	Davis (2-1)	5-5
April 17	Cardinals	2 - 3	Adams (0-1)	5-6
April 18	Dodgers	3 - 7	Capuano (0-1)	5-7
April 19	Dodgers	6 - 8 (10)	Phelps (0-1)	5-8
April 20	@ Astros	1 - 6	Sheets (1-3)	5-9
April 21	@ Astros	7 - 8	Davis (2-2)	5-10
April 22	@ Giants	6 - 1	Rueter (0-2)	6-10
April 23	@ Giants	2 - 6	Capuano (0-2)	6-11
April 24	@ Giants	8 - 5	Williams (0-2)	7-11
April 25	@ Cardinals	Postponed (rain) Rescheduled for April 28	Postponed (rain) Rescheduled for April 28	Postponed (rain) Rescheduled for April 28
April 26	@ Cardinals	3 - 5	Davis (2-3)	7-12
April 27	@ Cardinals	3 - 6	Santos (1-1)	7-13
April 28	@ Cardinals	4 - 3	Marquis (3-1)	8-13
April 29	Reds	4 - 3	Claussen (1-2)	9-13
April 30	Reds	6 - 5	Valentine (0-1)	10-13
