Player	League	Malaysia Cup	FA Cup	Total
Kevin Lamey	5	7	0	12
Jorge Armando Rodriguez Arguello	5	2	1	8
Zamri Hassan	4	3	0	7
Ivan Yusoff	2	3	0	5
Reeshafiq Alwi	2	1	0	3
Feldaus Hamid	0	2	0	2
Azidan Sarudin	1	0	0	1
Hugo Daniel Lucena	1	0	0	1
Azuwan Rahman	1	0	0	1
S Thanabalan	1	0	0	1
Ahmad Nordin Alias	0	1	0	1
Ahmad Dashila Tajudin	0	0	0	0
Ahmad Fouzee Masuri	0	0	0	0
Azrine Effendy Sa'duddin	0	0	0	0
Hasnol Hamzah	0	0	0	0
Iqbal Hanafi Masduki	0	0	0	0
Khairan Ezuan Razali	0	0	0	0
Zaki Tumpang (GK)	0	0	0	0
M Ravi	0	0	0	0
Nor Shuhaimi Bahauddin	0	0	0	0
Saiful Amar Sudar (GK)	0	0	0	0
Sazaril Amri Bakri	0	0	0	0
S Chandra Devan	0	0	0	0
V Saysupelan	0	0	0	0
Own goal	1	0	0	1
