Tournament	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	Career WR	Career Win-Loss
Australian Open	A	A	A	A	A	1R	1R	2R	1R	2R	1R	1R	A	A	A	0 / 7	2-7
French Open	A	A	A	A	3R	1R	2R	3R	1R	3R	2R	1R	A	1R	LQ	0 / 9	8-9
Wimbledon	A	A	A	A	A	1R	1R	3R	1R	1R	1R	A	A	1R	LQ	0 / 7	2-7
U.S. Open	A	A	A	A	1R	A	1R	1R	3R	1R	1R	A	A	A	A	0 / 6	2-6
Grand Slam Win Ratio	0 / 0	0 / 0	0 / 0	0 / 0	0 / 2	0 / 3	0 / 4	0 / 4	0 / 4	0 / 4	0 / 4	0 / 2	0 / 0	0 / 2	0 / 0	0 / 29	N/A
Grand Slam Win-Loss	0-0	0-0	0-0	0-0	2-2	0-3	1-4	5-4	2-4	3-4	1-4	0-2	0-0	0-2	0-0	N/A	14-29
Indian Wells	A	A	A	A	A	1R	A	A	A	1R	A	A	A	A	A	0 / 2	0-2
Miami	A	A	A	A	A	A	A	A	1R	3R	A	A	A	A	A	0 / 2	1-2
Monte Carlo	A	A	2R	A	A	1R	A	1R	2R	1R	2R	1R	A	A	1R	0 / 8	3-8
Rome	A	A	A	A	2R	1R	1R	1R	2R	1R	1R	A	A	A	A	0 / 7	2-7
Hamburg	A	A	A	A	A	1R	A	A	W	1R	A	2R	A	A	A	1 / 4	7-3
Canada	A	A	A	A	A	A	A	A	1R	A	A	A	A	A	A	0 / 1	0-1
Cincinnati	A	A	A	A	A	A	A	A	1R	A	A	A	A	A	A	0 / 1	0-1
Stuttgart/Madrid	A	A	A	A	1R	A	A	A	1R	A	A	A	A	A	A	0 / 2	0-2
Paris	A	A	A	A	1R	A	A	A	2R	A	A	A	A	A	A	0 / 2	1-2
ATP World Tour Finals	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	0 / 0	0-0
ATP Tournaments Played	1	0	3	4	17	24	18	23	29	23	20	16	6	12	3	N/A	199
ATP Finals Reached	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	N/A	4
ATP Tournaments Won	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	N/A	1
Year End Ranking	392	269	119	182	35	84	90	51	20	88	85	175	119	140	338	N/A	N/A
