District	Incumbent	Party	First elected	Result	Candidates
Texas 1	Jim Chapman	Democratic	1985	Re-elected	Jim Chapman (D) Unopposed
Texas 4	Ralph Hall	Democratic	1980	Re-elected	Ralph Hall (D) 71.7% Thomas Blow (R) 28.3%
Texas 6	Joe Barton	Republican	1984	Re-elected	Joe Barton (R) 55.8% Pete Geren (D) 44.2%
Texas 8	Jack Fields	Republican	1980	Re-elected	Jack Fields (R) 68.4% Blaine Mann (D) 31.6%
Texas 9	Jack Brooks	Democratic	1952	Re-elected	Jack Brooks (D) 61.5% Lisa D. Duperier (R) 38.5%
Texas 11	Marvin Leath	Democratic	1978	Re-elected	Marvin Leath (D) Unopposed
Texas 12	Jim Wright	Democratic	1954	Re-elected	Jim Wright (D) 68.7% Don McNeil (R) 31.3%
Texas 13	Beau Boulter	Republican	1984	Re-elected	Beau Boulter (R) 64.9% Doug Seal (D) 35.1%
Texas 14	Mac Sweeney	Republican	1984	Re-elected	Mac Sweeney (R) 52.3% Greg Laughlin (D) 47.7%
Texas 15	Kika de la Garza	Democratic	1964	Re-elected	Kika de la Garza (D) Unopposed
Texas 16	Ronald D. Coleman	Democratic	1982	Re-elected	Ronald D. Coleman (D) 65.7% Roy Gillia (R) 34.3%
Texas 17	Charles Stenholm	Democratic	1978	Re-elected	Charles Stenholm (D) Unopposed
Texas 18	Mickey Leland	Democratic	1978	Re-elected	Mickey Leland (D) 90.2% Joanne Kuniansky (I) 9.8%
Texas 19	Larry Combest	Republican	1984	Re-elected	Larry Combest (R) 62.0% Gerald McCathern (D) 38.0%
Texas 20	Henry B. Gonzalez	Democratic	1961	Re-elected	Henry B. Gonzalez (D) Unopposed
Texas 22	Tom DeLay	Republican	1984	Re-elected	Tom DeLay (R) 71.8% Susan Director (D) 28.2%
Texas 23	Albert Bustamante	Democratic	1984	Re-elected	Albert Bustamante (D) 90.7% Ken Hendrix ( L ) 9.3%
Texas 24	Martin Frost	Democratic	1978	Re-elected	Martin Frost (D) 67.2% Bob Burk (R) 32.8%
Texas 25	Michael A. Andrews	Democratic	1982	Re-elected	Michael A. Andrews (D) Unopposed
Texas 26	Dick Armey	Republican	1984	Re-elected	Dick Armey (R) 68.1% George Richardson (D) 31.9%
