Pick	Player	Country of origin*	PBA team	College
21	Dave Bautista	Philippines	Red Bull Thunder	Angeles
22	Fernan Dino Manuel	Philippines	Shell Turbo Chargers	San Beda
23	Marlon Piodo	Philippines	Barangay Ginebra Kings	San Jose
24	Ramon Jose	Philippines	Pop Cola Panthers	La Salle-Manila
25	June Longalong	Philippines	Mobiline Phone Pals	Perpetual Help
26	Michael Almonte	Philippines	Sta. Lucia Realtors	San Jose
27	Allan Salangsang	Philippines	Tanduay Rhum Masters	Letran
28	Michael Garcia	Philippines	Alaska Aces	Letran
29	Paul Guerrero	Philippines	Purefoods Tender Juicy Hotdogs	Letran
30	Jeremy Anciete	United States	San Miguel Beermen	North Park
