Rider	Manufacturer	Laps	Time/Retired	Grid
Lucio Cecchinello	Aprilia	24	42:09.029	4
Manuel Poggiali	Gilera	24	+0.076	1
Dani Pedrosa	Honda	24	+0.604	3
Arnaud Vincent	Aprilia	24	+0.865	5
Masao Azuma	Honda	24	+0.943	2
Pablo Nieto	Aprilia	24	+1.618	7
Stefano Bianco	Aprilia	24	+3.769	19
Mika Kallio	Honda	24	+8.680	20
Andrea Dovizioso	Honda	24	+8.915	11
Gino Borsoi	Aprilia	24	+9.534	8
Steve Jenkner	Aprilia	24	+11.749	16
Mirko Giansanti	Honda	24	+20.252	13
Max Sabbatani	Aprilia	24	+32.082	21
Klaus Nöhles	Honda	24	+35.206	26
Héctor Barberá	Aprilia	24	+49.526	25
Andrea Ballerini	Honda	24	+1:02.359	23
Michel Fabrizio	Gilera	24	+1:07.571	28
Chaz Davies	Aprilia	24	+1:10.303	22
Jorge Lorenzo	Derbi	24	+1:10.998	29
Grégory Lefort	Aprilia	24	+1:11.479	31
Mattia Angeloni	Gilera	24	+1:36.333	32
Imre Tóth	Honda	24	+1:41.034	35
Jimmy Petit	Honda	24	+1:42.517	33
Grégory Leblanc	Honda	24	+1 lap	37
Yoann Tiberio	Honda	24	+1 lap	36
Alex de Angelis	Aprilia	11	Accident	6
Jaroslav Huleš	Aprilia	11	Accident	15
Simone Sanna	Aprilia	10	Accident	12
Joan Olivé	Honda	10	Accident	14
Alex Baldolini	Aprilia	10	Accident	30
Ángel Rodríguez	Aprilia	8	Accident	9
Youichi Ui	Derbi	8	Accident	10
Gábor Talmácsi	Italjet	5	Accident	18
Noboru Ueda	Honda	5	Accident	17
Stefano Perugini	Italjet	4	Retirement	27
Jakub Smrž	Honda	0	Retirement	24
Vincent Braillard	Honda	0	Accident	34
