Week	Date	Opponent	Result	Attendance
1	September 11, 1966	Los Angeles Rams	L 19-14	54,418
2	September 18, 1966	at Philadelphia Eagles	L 23-10	54,049
3	September 25, 1966	at Detroit Lions	L 28-10	47,615
4	October 2, 1966	Dallas Cowboys	L 47-14	56,990
5	October 9, 1966	at Washington Redskins	L 33-20	50,116
6	October 16, 1966	San Francisco 49ers	L 44-7	54,788
7	October 23, 1966	at Green Bay Packers	L 56-3	48,623
8	October 30, 1966	Cleveland Browns	L 49-17	57,235
9	Bye	Bye	Bye	Bye
10	November 13, 1966	Baltimore Colts	L 19-7	58,850
11	November 20, 1966	at New York Giants	W 27-16	62,746
12	November 27, 1966	at Chicago Bears	L 23-6	44,777
13	December 4, 1966	at Minnesota Vikings	W 20-13	37,117
14	December 11, 1966	St. Louis Cardinals	W 16-10	57,169
15	December 18, 1966	Pittsburgh Steelers	L 57-33	56,229
