Week #	Theme	Song choice	Original artist	Order #	Result
Audition	N/A	" All I Do "	Stevie Wonder	N/A	Advanced
Hollywood	First Solo	" I Will Always Love You "	Dolly Parton	N/A	Advanced
Hollywood	Group Performance	" Get Ready "	The Temptations	N/A	Advanced
Hollywood	Second Solo	" If I Ain't Got You "	Alicia Keys	N/A	Advanced
Top 36/Semi-Final 3	Billboard Hot 100 Hits to Date	" Be Without You "	Mary J. Blige	12	Advanced
Top 13	Michael Jackson	" The Way You Make Me Feel "	Michael Jackson	1	Safe
Top 11	Grand Ole Opry	" Independence Day "	Martina McBride	4	Safe
Top 10	Motown	" (Love Is Like A) Heat Wave "	Martha and the Vandellas	7	Safe
Top 9	Top Downloads	" I Surrender "	Celine Dion	7	Safe
Top 8	Year They Were Born	" What's Love Got to Do with It "	Tina Turner	3	Bottom 3
Top 7	Songs from the Cinema	" The Rose " - The Rose	Bette Midler	7	Bottom 2
