Position	Team	Played	Drawn	Lost	Goals For	Goals Against	Goal Difference	Points 1
1	Gateshead	42	4	6	114	43	+71	100
2	Mossley	42	9	8	77	42	+35	84
3	Burton Albion	42	9	9	81	53	+28	81
4	Chorley	42	11	8	77	49	+28	80
5	Macclesfield Town	42	8	10	71	49	+22	80
6	Marine	42	17	8	81	57	+24	68
7	Workington	42	10	13	71	55	+16	67
8	Hyde United	42	12	12	91	63	+28	66
9	King's Lynn	42	13	12	62	44	+18	64
10	Matlock Town	42	10	14	70	65	+5	64
11	Witton Albion	42	12	13	82	52	+30	63
12	Buxton	42	9	16	60	62	−2	60
13	Morecambe	42	11	15	75	66	+9	59
14	Grantham	42	13	14	59	60	−1	58
15	Southport	42	14	17	58	65	−7	47
16	Goole Town	42	7	22	52	66	−14	46
17	Gainsborough Trinity	42	9	22	60	71	−11	42
18	Oswestry Town	42	8	24	56	99	−43	38
19	South Liverpool	42	15	20	57	91	−34	36
20	Tamworth	42	8	27	44	97	−53	29
21	Worksop Town	42	10	27	50	98	−48	25
22	Netherfield	42	9	31	28	129	−101	15
