Outcome	Date	Tournament	Surface	Partnering	Opponent in the final	Score
Winner	16 September 1991	Geneva , Switzerland	Clay	Sergi Bruguera	Per Henricsson Ola Jonsson	3–6, 6–3, 6–3
Winner	6 January 1992	Adelaide , Australia	Hard	Goran Ivanišević	Mark Kratzmann Jason Stoltenberg	7–6, 7–6
Winner	18 May 1992	Rome , Italy	Clay	Jakob Hlasek	Wayne Ferreira Mark Kratzmann	6–4, 3–6, 6–1
Winner	8 June 1992	French Open, Paris, France	Clay	Jakob Hlasek	David Adams Andrei Olhovskiy	7–6, 6–7, 7–5
Runner-up	13 June 1992	Stuttgart , Germany	Clay	Javier Sanchez	Glenn Layendecker Byron Talbot	6–4, 3–6, 4–6
Winner	26 October 1992	Lyon , France	Carpet	Jakob Hlasek	Neil Broad Stefan Kruger	6–1, 6–3
Winner	12 July 1993	Gstaad , Switzerland	Clay	Cédric Pioline	Hendrik Jan Davids Piet Norval	6–3, 3–6, 7–6
Runner-up	10 July 1995	Gstaad , Switzerland	Clay	Arnaud Boetsch	Luis Lobo Javier Sánchez	7–6, 6–7, 6–7
Winner	20 May 1996	World Team Cup , Germany	Clay	Jakob Hlasek	Petr Korda Daniel Vacek	6–3, 6–4
Winner	6 October 1997	Basel , Switzerland	Carpet	Tim Henman	Karsten Braasch Jim Grabb	7–6, 6–7, 7–6
Winner	20 September 1999	Tashkent , Uzbekistan	Hard	Oleg Ogorodov	Mark Keil Lorenzo Manta	7–6, 7–6
Runner-up	5 July 2004	Gstaad , Switzerland	Clay	Stanislas Wawrinka	Leander Paes David Rikl	4–6, 2–6
