Position	Number	Name	Height	Weight	Class	Hometown	Games↑
QB	3	Andre Woodson	6'5"	230lb.	Sr.	Radcliff, Kentucky	13
HB	22	Rafael Little	5'10"	210lb.	Sr.	Anderson, South Carolina	10
FB	38	John Conner	5'11"	228	So.	West Chester, Ohio	13
WR	19	Keenan Burton	6'2"	195lb.	Sr.	Louisville, Kentucky	12
WR	13	Steve Johnson	6'3"	198lb.	Sr.	San Francisco, California	10
TE	18	Jacob Tamme	6'4"	215lb.	Sr.	Danville, Kentucky	13
LT	79	Garry Willians	6'0"	300lb.	Jr.	Louisville, Kentucky	13
LG	72	Zipp Duncan	6'5"	295lb.	So.	Magnolia, Kentucky	12
C	59	Eric Scott	6'5"	291lb.	Sr.	Woodstock, Georgia	13
RG	78	Christian Johnson	6'4"	325lb.	Jr.	Fort Campbell, Kentucky	13
RT	76	Justin Jeffries	6'6"	300lb.	So.	Louisville, Kentucky	13
