Series #	Season #	Title	Directed by	Written by	Original air date	Production code
24	1	"Only Connect"	James Hayman	Barbara Hall	September 24, 2004	201
25	2	"Out of Sight"	Rob Morrow	Stephen Nathan	October 1, 2004	202
26	3	"Back to the Garden"	Kevin Dowling	Joy Gregory	October 8, 2004	203
27	4	"The Cat"	Steve Gomer	David Grae	October 15, 2004	204
28	5	"The Election"	Rob Morrow	Ellie Herman	October 22, 2004	205
29	6	"Wealth of Nations"	Kevin Dowling	Tom Garrigus	October 29, 2004	206
30	7	"P.O.V."	Graeme Clifford	Lindsay Sturman	November 5, 2004	207
31	8	"Friday Night"	Elodie Keene	Stephen Nathan	November 12, 2004	208
32	9	"No Future"	James Hayman	Barbara Hall	November 19, 2004	209
33	10	"The Book of Questions"	Steve Gomer	Ellie Herman	November 26, 2004	210
34	11	"Dive"	Martha Mitchell	David Grae	December 10, 2004	211
35	12	"Game Theory"	Gloria Muzio	Tom Garrigus	January 7, 2005	212
36	13	"Queen of the Zombies"	Graeme Clifford	Joy Gregory	January 14, 2005	213
37	14	"The Rise & Fall of Joan Girardi"	Martha Mitchell	Lindsay Sturman	January 28, 2005	214
38	15	"Romancing the Joan"	Joanna Kerns	Barbara Hall	February 11, 2005	215
39	16	"Independence Day"	James Hayman	Ellie Herman & Stephen Nathan	February 18, 2005	216
40	17	"Shadows and Light"	Kevin Dowling	Tom Garrigus & David Grae	February 25, 2005	217
41	18	"Secret Service"	Michael Fresco	Joy Gregory & Lindsay Sturman Story by: Ben Eicher	March 4, 2005	218
43	20	"Spring Cleaning"	Bethany Rooney	Lyla Oliver	April 8, 2005	220
44	21	"Common Thread"	Elodie Keene	Stephen Nathan	April 15, 2005	221
