Team	Location	Venue	Capacity	Position in 1992–93
Dinamo Minsk	Minsk	Dinamo, Minsk	41,040	1
KIM	Vitebsk	Central, Vitebsk	8,300	2
Dinamo-93	Minsk	Dinamo, Minsk	41,040	3
Neman	Grodno	Neman	6,300	4
Dnepr	Mogilev	Spartak, Mogilev	11,200	5
Fandok	Bobruisk	Spartak, Bobruisk	3,550	6
Dinamo Brest	Brest	Dinamo, Brest	10,080	7
Torpedo Mogilev	Mogilev	Torpedo, Mogilev	3,500	8
Torpedo Minsk	Minsk	Torpedo, Minsk	5,200	9
Gomselmash	Gomel	Central, Gomel	11,800	10
Shakhtyor	Soligorsk	Stroitel	5,000	11
Lokomotiv	Vitebsk	Central, Vitebsk	8,300	12
Molodechno	Molodechno	City Stadium	5,500	13
Stroitel	Starye Dorogi	Stroitel	2,000	14
Vedrich	Rechytsa	Central, Rechytsa	3,550	15
Shinnik	Bobruisk	Spartak, Bobruisk	3,550	First league , 1
