AVE- No.	Name	Country	Highest mountain	Height (m)
25	Rätikon	Switzerland Austria Liechtenstein	Schesaplana	2964
26	Silvretta Alps	Switzerland Austria	Piz Linard	3411
27	Samnaun Alps	Austria Switzerland	Muttler	3294
28	Verwall Alps	Austria	Hoher Riffler	3168
29	Sesvenna Alps	Switzerland Italy Austria	Piz Sesvenna	3204
30	Ötztal Alps	Austria Italy	Wildspitze	3768
31	Stubai Alps	Austria Italy	Zuckerhütl	3507
32	Sarntal Alps	Italy	Hirzer	2781
33	Tux Alps	Austria	Lizumer Reckner	2884
34	Kitzbühel Alps (1)	Austria	Kreuzjoch	2558
35	Zillertal Alps	Austria	Hochfeiler	3510
36	Venediger Group	Austria	Großvenediger	3666
37	Rieserferner Group	Italy Austria	Hochgall	3436
38	Villgraten Mountains	Austria Italy	Weiße Spitze	2962
39	Granatspitze Group	Austria	Großer Muntanitz	3232
40	Glockner Group	Austria	Großglockner	3798
41	Schober Group	Austria	Petzeck	3283
42	Goldberg Group	Austria	Hocharn	3254
43	Kreuzeck Group	Austria	Mölltaler Polinik	2784
44	Ankogel Group	Austria	Hochalmspitze	3360
45a	Radstadt Tauern	Austria	Weißeck	2711
45b	Schladming Tauern	Austria	Hochgolling	2862
45c	Rottenmann and Wölz Tauern	Austria	Rettlkirchspitze	2475
45d	Seckau Tauern	Austria	Geierhaupt	2417
46a	Gurktal Alps	Austria	Eisenhut	2441
46b	Lavanttal Alps	Austria Slovenia	Zirbitzkogel	2396
47	Prealps East of the Mur	Austria	Stuhleck	1782
