Track	Title	Translation	Composer	Recorded
1	"Les bourgeois"	The middle class	Jacques Brel, Jean Corti	1962-03-09
2	"Les paumés du petit matin"	The lost ones of the morning	Jacques Brel, François Rauber	1962-03-09
3	" Le Plat Pays "	The flat country	Jacques Brel	1962-03-06
4	"Zangra"	Zangra	Jacques Brel	1962-03-06
5	"Une île"	An island	Jacques Brel	1962-03-14
6	"Madeleine"	Madeleine	Jacques Brel, Jean Corti, Gérard Jouannest	1962-03-09
7	"Bruxelles"	Brussels	Jacques Brel, Gérard Jouannest	1962-03-14
8	"Chanson sans paroles"	Song without words	Jacques Brel, François Rauber	1962-03-14
9	"Les biches"	The does	Jacques Brel, Gérard Jouannest	1962-03-07
10	"Le caporal Casse-Pompon"	Corporal Casse-Pompon	Jacques Brel	1962-03-06
11	"La statue"	The statue	Jacques Brel, François Rauber	1962-03-07
12	"Rosa"	Rosa	Jacques Brel	1962-03-07
13	"Il neige sur Liège"	It snows on Liège	Jacques Brel	1963-05-30
14	"Pourquoi faut-il que les hommes s'ennuient"	Why are the men bored	Jacques Brel	1963
