Week	Date	Opponent	Result	Attendance
1	September 6, 1992	at San Diego Chargers	W 24–10	45,024
2	September 13, 1992	Seattle Seahawks	W 26–7	75,125
3	September 20, 1992	at Houston Oilers	L 23–20	60,955
4	September 28, 1992	Los Angeles Raiders	W 27–7	77,486
5	October 4, 1992	at Denver Broncos	L 20–19	75,629
6	October 12, 1992	Philadelphia Eagles	W 24–17	76,626
7	October 18, 1992	at Dallas Cowboys	L 17–10	64,115
8	October 25, 1992	Pittsburgh Steelers	L 27–3	76,175
9	Bye	Bye	Bye	Bye
10	November 8, 1992	San Diego Chargers	W 16–14	72,826
11	November 15, 1992	Washington Redskins	W 35–16	75,238
12	November 22, 1992	at Seattle Seahawks	W 24–14	49,867
13	November 30, 1992	at New York Jets	W 23–7	57,375
14	December 6, 1992	at Los Angeles Raiders	L 28–7	45,227
15	December 12, 1992	New England Patriots	W 27–20	52,208
16	December 20, 1992	at New York Giants	L 35–21	53,428
17	December 27, 1992	Denver Broncos	W 42–20	76,240
