Date of Issue	Theme	Denomination	Design	Illustration	Printing Process	Paper Type	First Day Cover Cancellation
5 January 2007	Year of the Pig	52 cents	John Belisle, Kosta Tsetsekas	John Belisle	Lithography in 8 colours with two foil stampings	Tullis Russell Coatings	Toronto, ON
5 January 2007	Year of the Pig	$1.55	John Belisle, Kosta Tsetsekas	John Belisle	Lithography in 8 colours with two foil stampings	Tullis Russell Coatings	Toronto, ON
15 January 2007	Celebration	52 cents	Karen Smith, Trivium Design Inc.	Robert George Young	Lithography in 9 colours	Tullis Russell Coatings	Ottawa, ON
12 February 2007	International Polar Year	52 cents	q30 design inc.	Rothrock, DA, Y. Yu and G.A. Maykut	Lithography in 9 colours	Tullis Russell Coatings	Igloolik, NU
1 March 2007	Lilacs	52 cents	Isabelle Toussaint	Isabelle Toussaint	Lithography in 4 colours and spot varnish	Tullis Russell Coatings	Cornwall, ON
12 March 2007	HEC Montreal	52 cents	Denis L’Allier	Guy Lavigueur	Lithography in 6 colours	Tullis Russell Coatings	Montreal, QC
12 March 2007	Mary Pratt	52 cents	Hélène L'Heureux	Hélène L'Heureux	Lithography in 10 colours	Tullis Russell Coatings	St. John's, NL
3 April 2007	University of Saskatchewan	52 cents	Denis L’Allier	Guy Lavigueur	Lithography in 6 colours	Tullis Russell Coatings	Saskatoon, SK
3 May 2007	Ottawa: 1857-2007	52 cents	John McQuarrie	Clive Branson	Lithography in 7 colours	Tullis Russell Coatings	Ottawa, ON
22 June 2007	Captain George Vancouver, 1757–2007	$1.55	Niko Potton, Fleming Design	Niko Potton	Lithography in 7 colours plus embossing	Tullis Russell Coatings	Vancouver, BC
26 June 2007	FIFA U-20 World Cup Canada 2007	52 cents	Debbie Adams	Dale MacMillan	Lithography in 8 colours	Tullis Russell Coatings	Toronto, ON
29 June 2007	Canadian Recording Artists Paul Anka	52 cents	Circle Design Inc.	Photo from EMI Canada	Lithography in 9 colours	Lowe-Martin	Toronto, ON
29 June 2007	Canadian Recording Artists Gordon Lightfoot	52 cents	Circle Design Inc.	Photo from John Reeves	Lithography in 9 colours	Lowe-Martin	Toronto, ON
29 June 2007	Canadian Recording Artists Joni Mitchell	52 cents	Circle Design Inc.	Photo from Gregory Heisler	Lithography in 9 colours	Lowe-Martin	Toronto, ON
29 June 2007	Canadian Recording Artists Anne Murray	52 cents	Circle Design Inc.	Photo from Monic Richard	Lithography in 9 colours	Lowe-Martin	Toronto, ON
6 July 2007	Terra Nova National Park	52 cents	Saskia van Kampen	Vlasta van Kampen	Lithography in 6 colours	Tullis Russell	Glovertown, Newfoundland
20 July 2007	Jasper National Park	52 cents	Saskia van Kampen	Vlasta van Kampen	Lithography in 6 colours	Tullis Russell	Jasper, Alberta
25 July 2007	100 Years of Scouting	52 cents	Matthias Reinicke Lime Design Inc.	Various Photos	Lithography in 8 colours	Tullis Russell	Tamaracouta, QC
26 July 2007	Chief Membertou	52 cents	Fugazi	Suzanne Duranceau	3 colours intaglio	Tullis Russell	St. Peter’s, Nova Scotia
1 October 2007	Endangered Species (Leatherback Turtle)	52 cents	Sputnik Design Partners Inc.	Doug Martin (iZiart)	Lithography in 8 colours	Tullis Russell Coatings	Halifax, Nova Scotia
1 October 2007	Endangered Species (White Sturgeon)	52 cents	Sputnik Design Partners Inc.	Doug Martin (iZiart)	Lithography in 8 colours	Tullis Russell Coatings	Halifax, Nova Scotia
1 October 2007	Endangered Species (North Atlantic Right Whale)	52 cents	Sputnik Design Partners Inc.	Doug Martin (iZiart)	Lithography in 8 colours	Tullis Russell Coatings	Halifax, Nova Scotia
1 October 2007	Endangered Species (Northern Cricket Frog)	52 cents	Sputnik Design Partners Inc.	Doug Martin (iZiart)	Lithography in 8 colours	Tullis Russell Coatings	Halifax, Nova Scotia
1 November 2007	Christmas: Hope, Joy and Peace	Permanent	Tandem Design Associates Inc.	Stephanie Carter, Steve Hepburn, Jonathan Milne	Lithography in 5 colours	Tullis Russell Coatings	Hope, British Columbia
1 November 2007	Christmas: Hope, Joy and Peace	93 cents	Tandem Design Associates Inc.	Stephanie Carter, Steve Hepburn, Jonathan Milne	Lithography in 5 colours	Tullis Russell Coatings	Ange-Gardien, Quebec
1 November 2007	Christmas: Hope, Joy and Peace	$1.55	Tandem Design Associates Inc.	Stephanie Carter, Steve Hepburn, Jonathan Milne	Lithography in 5 colours	Tullis Russell Coatings	Peace River, Alberta
