Week	Date	Opponent	Result	Attendance
1	September 18, 1977	Kansas City Chiefs	W 21–17	58,185
2	September 26, 1977	at Cleveland Browns	L 30–27	76,418
3	October 2, 1977	at New York Jets	L 30–27	38,227
4	October 9, 1977	Seattle Seahawks	W 31–0	45,927
5	October 16, 1977	at San Diego Chargers	W 24–20	50,327
6	October 23, 1977	Baltimore Colts	W 17–3	60,958
7	October 30, 1977	New York Jets	W 24–13	61,042
8	November 6, 1977	Buffalo Bills	L 24–14	60,263
9	November 13, 1977	at Miami Dolphins	L 17–5	67,502
10	November 20, 1977	at Buffalo Bills	W 20–7	27,598
11	November 27, 1977	Philadelphia Eagles	W 14–6	57,893
12	December 4, 1977	at Atlanta Falcons	W 16–10	57,911
13	December 11, 1977	Miami Dolphins	W 14–10	61,064
14	December 18, 1977	at Baltimore Colts	L 30–24	42,250
