Game	Date	Opponent	Result	Score	Record	Streak	Attendance
1	September 13	Detroit Lions	L	26-17	0-1	L-1	33,204
2	September 20	at Philadelphia Eagles	W	28-24	1-1	W-1	57,352
3	September 27	St. Louis Cardinals	L	23-13	1-2	L-1	30,969
4	October 4	Chicago Bears	W	31-21	2-2	W-1	33,132
5	October 11	at Green Bay Packers	L	24-14	2-3	L-1	47,380
6	October 18	at Los Angeles Rams	L	42-14	2-4	L-2	54,355
7	October 25	Minnesota Vikings	L	27-22	2-5	L-3	31,845
8	November 1	at Baltimore Colts	L	37-7	2-6	L-4	60,213
9	November 8	at Minnesota Vikings	L	24-7	2-7	L-5	40,408
10	November 15	Green Bay Packers	W	24-14	3-7	W-1	38,483
11	November 22	at Chicago Bears	L	23-21	3-8	L-1	46,772
12	November 29	Baltimore Colts	L	14-3	3-9	L-2	33,642
13	December 6	Los Angeles Rams	W	28-7	4-9	W-1	31,791
14	December 13	at Detroit Lions	L	24-7	4-10	L-1	41,854
