Player	Starts	Cuts made	Best finish	Money list rank	Earnings ($)
George McNeill	30	18	Win	61	1504627
Robert Garrigus	28	18	T3	74	1260010
Rich Barcelo	26	13	T4	170	334244
Anders Hansen	17	10	T11	153	461216
Cameron Beckman	29	19	T3	112	902258
John Merrick	29	16	T4	135	649438
Steve Wheatcroft	25	10	T18	206	153246
Steve Marino	31	21	T6	80	1179165
Paul Stankowski	18	7	T12	178	282389
Tom Johnson	27	11	T18	196	190926
Bob Heintz	27	15	T5 (twice)	136	649342
Paul Gow	26	10	T10	184	264149
Ryan Armour	32	21	4	121	862979
John Mallinger	29	18	3/T3 (three times)	51	1681764
Anthony Kim	26	20	T3	60	1545195
Chris Stroud	24	9	T5	133	673106
Craig Lile	24	15	T22	186	255659
Parker McLachlin	27	13	T5	137	627582
Glen Day	27	16	T15	163	397491
Charlie Wi	27	18	T2	84	1145975
Darron Stiles	24	8	T22	192	215379
Alex Čejka	25	17	T6	120	868303
Scott Gutschewski	22	11	T22	187	252179
Marco Dawson	23	13	T5	145	521432
Brendon de Jonge	26	12	T6	155	447172
Chris Tidland	21	8	T6	169	339482
Michael Boyd	21	9	T27	208	126839
Michael Allen	22	15	2	95	1016952
Mark Wilson	25	18	Win	56	1637112
Bob May	16	9	T5	189	244970
Jonathan Kaye	0	0	n/a	n/a	0
Stephen Allan	18	13	T7	141	568059
Jason Schultz	22	9	T28	203	163244
D. J. Brigman	22	11	T20	183	268205
Kyle Reifers	27	9	T12	181	276369
Brian Bateman	18	9	Win	94	1022763
Matt Hendrix	24	7	T31	213	108269
Dicky Pride	25	10	4	159	415792
Michael Bradley	8	3	T46	237	31889
