Round	Circuit	Date	Pole position	Fastest lap	Winning driver	Winning team
1	Hockenheimring	25 April	Gary Paffett	Bruno Spengler	Gary Paffett	HWA Team
2	Circuit Ricardo Tormo , Valencia	23 May	Mattias Ekström	Mattias Ekström	Mattias Ekström	Abt Sportsline
3	EuroSpeedway Lausitz	6 June	Paul di Resta	Mike Rockenfeller	Bruno Spengler	HWA Team
4	Norisring , Nuremberg	4 July	Ralf Schumacher	Ralf Schumacher	Jamie Green	Persson Motorsport
5	Nürburgring	8 August	Mattias Ekström	Bruno Spengler	Bruno Spengler	HWA Team
6	Circuit Park Zandvoort	22 August	Timo Scheider	Timo Scheider	Gary Paffett	HWA Team
7	Brands Hatch , Kent	5 September	Paul di Resta	Miguel Molina	Paul di Resta	HWA Team
8	Motorsport Arena Oschersleben	19 September	Paul di Resta	Timo Scheider	Paul di Resta	HWA Team
9	Hockenheimring	17 October	Timo Scheider	Paul di Resta	Paul di Resta	HWA Team
10	Adria International Raceway	31 October	Gary Paffett	Mattias Ekström	Timo Scheider	Abt Sportsline
