Date	Tournament	Location	Winner	Score	1st prize ( $ )
Jan 17	MONY Tournament of Champions	California	Steve Pate (2)	202 (–14)	90,000
Jan 24	Bob Hope Chrysler Classic	California	Jay Haas (7)	338 (–22)	180,000
Jan 31	Phoenix Open	Arizona	Sandy Lyle (4)	269 (–15)	117,000
Feb 7	AT&T Pebble Beach National Pro-Am	California	Steve Jones (1)	280 (–8)	126,000
Feb 14	Hawaiian Open	Hawaii	Lanny Wadkins (17)	271 (–17)	108,000
Feb 21	Shearson Lehman Hutton Andy Williams Open	California	Steve Pate (3)	269 (–19)	117,000
Feb 28	Los Angeles Open	California	Chip Beck (1)	267 (–17)	135,000
Mar 6	Doral-Ryder Open	Florida	Ben Crenshaw (14)	274 (–14)	180,000
Mar 13	Honda Classic	Florida	Joey Sindelar (4)	276 (–12)	126,000
Mar 20	Hertz Bay Hill Classic	Florida	Paul Azinger (4)	271 (–13)	135,000
Mar 27	The Players Championship	Florida	Mark McCumber (6)	273 (–15)	225,000
Apr 3	KMart Greater Greensboro Open	North Carolina	Sandy Lyle (5)	271 (–17)	180,000
Apr 10	Masters Tournament	Georgia	Sandy Lyle (6)	281 (–7)	183,800
Apr 17	MCI Heritage Golf Classic	South Carolina	Greg Norman (6)	271 (–13)	126,000
Apr 24	USF&G Classic	Louisiana	Chip Beck (2)	262 (–26)	135,000
May 1	Independent Insurance Agent Open	Texas	Curtis Strange (13)	270 (–18)	126,000
May 8	Panasonic Las Vegas Invitational	Nevada	Gary Koch (6)	274 (–14)	250,000
May 15	GTE Byron Nelson Golf Classic	Texas	Bruce Lietzke (11)	271 (–9)	135,000
May 22	Colonial National Invitation	Texas	Lanny Wadkins (18)	270 (–10)	135,000
May 29	Memorial Tournament	Ohio	Curtis Strange (14)	274 (–14)	160,000
Jun 5	Kemper Open	Maryland	Morris Hatalsky (3)	274 (–10)	144,000
Jun 12	Manufacturers Hanover Westchester Classic	New York	Seve Ballesteros (8)	276 (–8)	126,000
Jun 20	U.S. Open	Massachusetts	Curtis Strange (15)	278 (–6)	180,000
Jun 26	Georgia-Pacific Atlanta Golf Classic	Georgia	Larry Nelson (10)	268 (–20)	126,000
Jul 3	Beatrice Western Open	Illinois	Jim Benepe (1)	278 (–10)	162,000
Jul 10	Anheuser-Busch Golf Classic	Virginia	Tom Sieckmann (1)	270 (–14)	117,000
Jul 17	Hardee's Golf Classic	Illinois	Blaine McCallister (1)	261 (–19)	108,000
Jul 18	British Open	England	Seve Ballesteros (9)	273 (–11)	136,000
Jul 24	Canon Sammy Davis Jr.-Greater Hartford Open	Connecticut	Mark Brooks (1)	269 (–15)	126,000
Jul 31	Buick Open	Michigan	Scott Verplank (2)	268 (–20)	126,000
Aug 7	Federal Express St. Jude Classic	Tennessee	Jodie Mudd (1)	273 (–15)	171,692
Aug 14	PGA Championship	Oklahoma	Jeff Sluman (1)	272 (–12)	160,000
Aug 21	The International	Colorado	Joey Sindelar (5)	38 ( Stableford )	180,000
Aug 28	NEC World Series of Golf	Ohio	Mike Reid (2)	275 (–5)	162,000
Aug 28	Provident Classic	Tennessee	Phil Blackmar (2)	264 (–16)	81,000
Sep 4	Canadian Open	Canada	Ken Green (3)	275 (–13)	135,000
Sep 11	Greater Milwaukee Open	Wisconsin	Ken Green (4)	268 (–20)	126,000
Sep 18	Bank of Boston Classic	Massachusetts	Mark Calcavecchia (3)	274 (–10)	108,000
Sep 25	B.C. Open	New York	Bill Glasson (2)	268 (–16)	90,000
Oct 2	Southern Open	Georgia	David Frost (1)	270 (–10)	72,000
Oct 9	Gatlin Brothers-Southwest Golf Classic	Texas	Tom Purtzer (3)	269 (–19)	72,000
Oct 16	Texas Open	Texas	Corey Pavin (7)	259 (–21)	108,000
Oct 23	Pensacola Open	Florida	Andrew Magee (1)	271 (–17)	72,000
Oct 29	Walt Disney World/Oldsmobile Classic	Florida	Bob Lohr (1)	263 (–25)	126,000
Nov 6	Northern Telecom Tucson Open	Arizona	David Frost (2)	266 (–22)	108,000
Nov 13	Centel Classic	Florida	Bill Glasson (3)	272 (–16)	90,000
Nov 13	Nabisco Championship	California	Curtis Strange (16)	279 (–9)	360,000
