Season	Champion	Runner-up	Third Place	Top scorer	Best Player
1992	Kairat	Orbadasy (SKIF Ordabasy)	Irtysh (Traktor)	Sergei Kogai ( Kaisar ) - 21	Sergei Volgin ( Kairat )
1993	Irtysh (Ansat)	Ekibastuzets (Batyr)	Gornyak	Aleksandr Shmarikov ( Taraz ) - 28	Nikolay Kurganskiy ( Ekibastuzets )
1994	Semey (Yelimay)	Irtysh (Ansat)	Ordabasy (Zhiger)	Oleg Litvinenko ( Taraz ) - 20	Kanat Musataev ( Ordabasy )
1995	Semey (Yelimay)	Taraz	Shakhter	Andrei Miroshnichenko ( Semey ) - 23	Andrei Miroshnichenko ( Semey )
1996	Taraz	Irtysh	Semey (Yelimay)	Viktor Antonov ( Irtysh ) - 21	Oleg Voskoboynikov ( Taraz )
1997	Irtysh	Taraz	Kairat	Nurken Mazbaev ( Taraz ) - 16	Oleg Voskoboynikov ( Taraz )
1998	Semey (Yelimay)	Ekibastuzets (Batyr)	Irtysh	Oleg Litvinenko ( Semey ) - 14	Oleg Voskoboynikov ( Kaisar )
1999	Irtysh (Irtysh Bastau)	Kyzylzhar (Access-Esil)	Kairat	Rejepmyrat Agabaýew ( Kairat ) - 24	Igor Avdeev ( Kyzylzhar )
2000	Astana-64 (Zhenis)	Kyzylzhar (Access-Golden-Grain)	Irtysh	Mendes ( Irtysh ) - 21	Igor Avdeev ( Kyzylzhar )
2001	Astana-64 (Zhenis)	Atyrau	Kyzylzhar (Esil Bogatyr)	Arsen Tlekhugov ( Astana-64 ) - 30	Arsen Tlekhugov ( Astana-64 )
2002	Irtysh	Atyrau	Tobol	Yevgeny Lunev ( Shakhter ) - 16	Evgeniy Lovchev ( Astana-64 )
2003	Irtysh	Tobol	Astana-64 (Zhenis)	Andrei Finonchenko ( Shakhter ) - 18	Nurbol Zhumaskaliyev ( Tobol )
2005	Aktobe	Tobol	Kairat	Murat Tleshev ( Irtysh ) - 20	Nurbol Zhumaskaliyev ( Tobol )
2006	Astana-64 (Astana)	Aktobe	Tobol	Jafar Irismetov ( Almaty ) - 17	David Loria ( Astana-64 )
2007	Aktobe	Tobol	Shakhter	Jafar Irismetov ( Almaty ) - 17	Samat Smakov ( Aktobe )
2008	Aktobe	Tobol	Irtysh	Murat Tleshev ( Irtysh ) - 13	Samat Smakov ( Aktobe )
2010	Tobol	Aktobe	Irtysh	Ulugbek Bakaev ( Tobol ) - 16	Nurbol Zhumaskaliyev ( Tobol )
2011	Shakhter	Zhetysu	Aktobe	Ulugbek Bakaev ( Zhetysu ) - 18	Ulan Konysbayev ( Shakhter )
