Name	Years	Gender	Area	Authority	Decile	Roll
Alfriston School	1–8	Coed	Alfriston	State	9	328
Ararimu School	1–8	Coed	Drury	State	10	123
Ardmore School	1–8	Coed	Papakura	State	6	351
Awhitu District School	1–8	Coed	Waiuku	State	5	117
Beachlands School	1–8	Coed	Beachlands	State	10	558
Bombay School	1–8	Coed	Bombay	State	9	349
Brookby School	1–8	Coed	Manurewa	State	8	120
Buckland School	1–8	Coed	Pukekohe	State	8	267
Clevedon School	1–8	Coed	Clevedon	State	10	363
Glenbrook School	1–8	Coed	Glenbrook	State	8	257
Hunua School	1–8	Coed	Papakura	State	7	105
Karaka School	1–8	Coed	Karaka	State	8	236
KingsGate School	1–8	Coed	Pukekohe	State integrated	5	52
Maraetai Beach School	1–8	Coed	Maraetai	State	10	264
Mauku School	1–6	Coed	Pukekohe	State	6	79
Orere School	1–8	Coed	Orere Point	State	4	43
Paerata School	1–8	Coed	Pukekohe	State	4	123
Paparimu School	1–8	Coed	Papakura	State	9	24
Patumahoe Primary School	1–6	Coed	Pukekohe	State	8	295
Pukekohe East School	1–6	Coed	Pukekohe	State	9	166
Pukekohe Hill School	1–6	Coed	Pukekohe	State	6	589
Pukekohe Intermediate	7–8	Coed	Pukekohe	State	6	632
Pukekohe North School	1–8	Coed	Pukekohe	State	1	214
Puni School	1–6	Coed	Pukekohe	State	5	205
Ramarama School	1–8	Coed	Drury	State	8	209
Sandspit Road School	1–8	Coed	Waiuku	State	7	375
St Joseph's School	1–8	Coed	Pukekohe	State integrated	7	383
Te Hihi School	1–8	Coed	Papakura	State	9	214
TKKM o Waiuku	1–8	Coed	Waiuku	State	5	13
Valley School	1–6	Coed	Pukekohe	State	8	456
View Road School	1–8	Coed	Waiuku	State	5	160
Waiau Pa School	1–8	Coed	Pukekohe	State	9	330
Waipipi School	1–8	Coed	Waiuku	State	8	116
Waiuku Primary School	1–8	Coed	Waiuku	State	7	334
