Rank	Mark	Athlete	Place	Date
1.	98.48	Jan Železný ( CZE )	Jena	1996-05-25
2.	93.09	Aki Parviainen ( FIN )	Kuortane	1999-06-26
3.	92.61	Sergey Makarov ( RUS )	Sheffield	2002-06-30
4.	92.60	Raymond Hecht ( GER )	Oslo	1995-07-21
5.	91.69	Konstadinós Gatsioúdis ( GRE )	Kuortane	2000-06-24
6.	91.59	Andreas Thorkildsen ( NOR )	Oslo	2006-06-02
7.	91.53	Tero Pitkämäki ( FIN )	Kuortane	2005-06-26
8.	91.46	Steve Backley ( GBR )	Auckland	1992-01-25
9.	91.29	Breaux Greer ( USA )	Indianapolis	2007-06-21
10.	90.73	Vadims Vasiļevskis ( LAT )	Tallinn	2007-07-22
