Place	Player	Country	Score	To par	Money ( $ )
T1	Craig Stadler	United States	75-69-67-73=284	–4	Playoff
T1	Dan Pohl	United States	75-75-67-67=284	–4	Playoff
T3	Seve Ballesteros	Spain	73-73-68-71=285	–3	21,000
T3	Jerry Pate	United States	74-73-67-71=285	–3	21,000
T5	Tom Kite	United States	76-69-73-69=287	–1	13,500
T5	Tom Watson	United States	77-69-70-71=287	–1	13,500
T7	Raymond Floyd	United States	74-72-69-74=289	+1	11,067
T7	Larry Nelson	United States	79-71-70-69=289	+1	11,067
T7	Curtis Strange	United States	74-70-73-72=289	+1	11,067
T10	Andy Bean	United States	75-72-73-70=290	+2	8,550
T10	Mark Hayes	United States	74-73-73-70=290	+2	8,550
T10	Tom Weiskopf	United States	75-72-68-75=290	+2	8,550
T10	Fuzzy Zoeller	United States	72-76-70-72=290	+2	8,550
