Name	Premiere	Finale	Original teams	The Biggest Loser	At-Home Winner
The Biggest Loser (season 1)	October 19, 2004	December 14, 2004	Two teams of six	Ryan Benson	David Fioravanti
The Biggest Loser (season 2)	September 13, 2005	November 29, 2005	Two teams of seven divided by gender	Matt Hoover	Pete Thomas
The Biggest Loser (season 3)	September 20, 2006	November 29, 2006	Two teams of seven and two at-home returnees	Erik Chopin	Brian Starkey
The Biggest Loser (season 4)	September 11, 2007	December 18, 2007	Three teams of six	Bill Germanakos	Jim Germanakos
The Biggest Loser: Couples	January 1, 2008	April 15, 2008	Ten teams of two	Ali Vincent	Bernie Salazar
The Biggest Loser: Families	September 16, 2008	December 16, 2008	Eight teams of two	Michelle Aguilar	Heba Salama
The Biggest Loser: Couples 2	January 6, 2009	May 12, 2009	Eleven teams of two	Helen Phillips	Jerry Hayes
The Biggest Loser: Second Chances	September 15, 2009	December 8, 2009	Eight teams of two	Danny Cahill	Rebecca Meyer
The Biggest Loser: Couples 3	January 5, 2010	May 25, 2010	Eleven teams of two	Michael Ventrella	Koli Palu
The Biggest Loser: Pay It Forward	September 21, 2010	December 14, 2010	Seven teams of three	Patrick House	Mark Pinkhasovich
The Biggest Loser: Couples 4	January 4, 2011	May 24, 2011	Twelve teams of two	Olivia Ward	Denise "Deni" Hill
The Biggest Loser: Battle of the Ages	September 20, 2011	December 13, 2011	Three teams of five	John Rhode	Jennifer Rumple
The Biggest Loser: No Excuses	January 3, 2012	May 1, 2012	Ten teams of two	Jeremy Britt	Mike Messina
The Biggest Loser: Challenge America	January 6, 2013	March 18, 2013	Three teams of five	Danni Allen	Gina McDonald
The Biggest Loser: Second Chances 2	October 15, 2013	TBA	Three teams of five	TBD	TBD
