Animal	Bahia	Pernambuco	Ceará	Rio G do Norte	Alagoas	Northeast Total	BR Ranking & %
Goats	3187839	1595069	976880	401510	67549	8633722	1st - 91.36%
Sheep	3096155	1256270	1998165	514224	201273	9286258	1st - 57.19%
Cattle	11385722	2219892	2424290	1010238	1112125	28711240	4th - 14.38%
Milk x1000 lit	965799	662078	416453	214044	242740	3335286	4th - 12.77%
Pigs	1904699	495957	1132673	182598	144652	6747013	2nd - 18.77%
Chickens +family	29110700	31916818	24063274	4817525	5714782	131731022	3rd - 11.69%
Chickens eggs ~	75216	142518	109464	28729	28955	466432 ~	3rd - 15.73%
Quails	318585	605371	82813	51741	122297	1400201	2nd - 18.46%
Quails eggs ~	3788	9390	826	838	1044	18257 ~	2nd - 13.94%
Horses	621122	125976	141370	42933	56962	1430408	2nd - 25.53%
Donkeys	308904	100944	201079	57955	10704	1063012	1st - 91.39%
s Mule	322241	54812	90367	21277	21485	687523	1st - 51.19%
Buffalos	17303	19239	1631	875	1747	119978	3rd - 10.60%
Rabbits	31491	2383	1953	405	692	36924	3rd - 12.71%
Honey s tonne	2200	1177	3137	611	170	11598	2nd - 33.38%
