Name	Built	Listed	Location	County
Abiaca Creek Bridge	1930	2004-03-22	Vaiden	Carroll
Bahala Creek Bridge	1909	1988-11-16	Oma	Lawrence
Bayou Pierre Bridge	ca.1920	2005-06-10	Carpenter	Copiah
Bayou Pierre Bridge	ca.1900, 1940	2005-06-10	Carpenter	Copiah
Big Black River Railroad Bridge	1917	1988-11-16	Bovina , Edwards	Hinds , Warren
Byram Bridge	ca.1905	1979-05-23	Bryam , Frenchs Store	Hinds , Rankin
Chunky River Bridge	1911	2004-03-22	Chunky	Newton
Columbus Bridge	1925–1927	1988-11-16	Columbus	Lowndes
Confederate Avenue Brick Arch Bridge	1935	1988-11-16	Vicksburg	Warren
Coon Box Fork Bridge	1919	1979-05-23	Coon Box	Jefferson
Eddiceton Bridge	1909	1988-11-16	Eddiceton	Franklin
Enterprise Bridge	ca.1925, ca.1935	1988-11-16	Enterprise	Clarke
Fairchild's Creek Bridge	1930	2005-06-08	Natchez	Adams
Fairground Street Bridge	1895	1988-11-16	Vicksburg	Warren
Gatesville Bridge	1908	1988-11-16	Gatesville , Pearl	Copiah , Simpson
R.H. Henry Bridge	1929	2005-06-08	Edwards	Hinds
Highway 11 Bridge over Chunky River	1926	1988-11-16	Enterprise	Clarke
Homochitto River Bridge	1909	1988-11-16	Hazelhurst	Copiah
Keesler Bridge	1925	1988-11-16	Greenwood	Leflore
Lamb-Fish Bridge	1905	1982-05-17	Charleston	Tallahatchie
Leaf River Bridge	1907	1988-11-16	McClain	Greene
Lucien Bridge	1938	2005-06-16	McCall Creek	Franklin
Mahned Bridge	1903	1997-11-24	New Augusta	Perry
Mississippi River Bridge	1928–1930	1989-02-14	Vicksburg	Warren
Motley Slough Bridge	1920	1988-11-16	Columbus	Lowndes
Old Hill Place Bridge	ca.1920	1979-05-23	Fayette	Jefferson
Owens Creek Bridge	1917	1988-11-16	Utica	Claiborne
Pearl River Bridge on Mississippi Highway 28	1940	2005-06-10	Georgetown	Copiah
Running Water Creek Bridge	1928	1988-11-16	Shuqualak	Noxubee
Shubuta Bridge	1919	1988-11-16	Shubuta	Clarke
Stuckey's Bridge	1901	1988-11-16	Meridian	Lauderdale
Tibbee Bridge	1896	1988-11-16	West Point	Clay
Valley of the Moon Bridge	ca.1925, ca.1930	2005-06-08	Port Gibson	Claiborne
Waverly Bridge	1914	1989-03-20	Columbus , Waverly	Clay , Lowndes
Widow's Creek Bridge	1917	1988-11-16	Port Gibson	Claiborne
Woodrow Wilson Bridge	1925	1988-11-16	Jackson	Hinds , Rankin
Woodburn Bridge	ca.1916	1988-11-16	Indianola	Sunflower
Yellow Creek Bridge	1910	1988-11-16	Waynesboro	Wayne
Youngblood Bridge	1900, 1915	1979-05-23	Union Church	Jefferson
Confederate Avenue Steel Arch Bridge	1903	removed 2002-12-16	Vicksburg	Warren
Hickahala Creek Bridge	1926	removed 1996-03-15	Senatobia	Tate
Rockport Bridge	1910	removed 1999-12-15	Georgetown , Pinola	Copiah , Simpson
Waynesboro Bridge	1910	removed 2004-04-07	Waynesboro	Wayne
