Pick	Player	Team	Position	School
31	Casey Daigle	Arizona Diamondbacks	P	Sulphur HS (Sulphur, Louisiana)
32	Jay Gehrke	Kansas City Royals	P	Pepperdine University
33	Jeff Heaverlo	Seattle Mariners	P	University of Washington
34	Joshua Cenate	Baltimore Orioles	P	Jefferson HS (Charlestown, West Virginia)
35	Brian West	Chicago White Sox	P	West Monroe HS (West Monroe, Louisiana)
36	Nick Stocks	St. Louis Cardinals	P	Florida State University
37	Jason Repko	Los Angeles Dodgers	OF	Hanford HS (Richland, Washington)
38	Colby Lewis	Texas Rangers	P	Bakersfield College
39	Jerome Williams	San Francisco Giants	P	Waipahu HS (Waipahu, Hawaii)
40	Brad Baker	Boston Red Sox	P	Pioneer Valley Regional HS (Leyden, Massachusetts)
41	Casey Burns	San Diego Padres	P	University of Richmond
42	Mike Rosamond	Houston Astros	SS	University of Mississippi
43	Jimmy Gobble	Kansas City Royals	P	John S. Battle HS (Bristol, Virginia)
44	Scott Rice	Baltimore Orioles	P	Royal HS (Simi Valley, California)
45	Rob Purvis	Chicago White Sox	P	Bradley University
46	Chris Duncan	St. Louis Cardinals	1B	Canyon del Oro HS (Oro Valley, Arizona)
47	Mike Mead	Texas Rangers	P	Soddy Daisy HS (Soddy-Daisy, Tennessee)
48	Casey Fossum	Boston Red Sox	P	Texas A&M University
49	Mike Bynum	San Diego Padres	P	University of North Carolina
50	Brian Roberts	Baltimore Orioles	SS	University of South Carolina
51	Nick Trzesniak	San Diego Padres	C	Victor J. Andrew HS (Tinley Park, Illinois)
