Pos.	Mark	Athlete	Nationality	Venue	Date
1.	2.09m(6ft10¼in)	Stefka Kostadinova	Bulgaria	Rome	30 August 1987
2.	2.08m(6ft9¾in)	Blanka Vlašić	Croatia	Zagreb	31 August 2009
3.	2.07m(6ft9¼in)	Lyudmila Andonova	Bulgaria	Berlin	20 July 1984
3.	2.07m(6ft9¼in)	Anna Chicherova	Russia	Cheboksary	22 July 2011
5.	2.06m(6ft9in)	Kajsa Bergqvist	Sweden	Eberstadt	26 July 2003
5.	2.06m(6ft9in)	Hestrie Cloete	South Africa	Paris	31 August 2003
5.	2.06m(6ft9in)	Yelena Slesarenko	Russia	Athens	28 August 2004
5.	2.06m(6ft9in)	Ariane Friedrich	Germany	Berlin	14 June 2009
9.	2.05m(6ft8½in)	Tamara Bykova	Soviet Union	Kiev	22 June 1984
9.	2.05m(6ft8½in)	Heike Henkel	Germany	Tokyo	31 August 1991
9.	2.05m(6ft8½in)	Inha Babakova	Ukraine	Tokyo	15 September 1995
9.	2.05m(6ft8½in)	Tia Hellebaut	Belgium	Beijing	23 August 2008
9.	2.05m(6ft8½in)	Chaunté Lowe	USA	Des Moines	26 June 2010
